%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%                                                               %%
%% The data in this file are from a direct numerical simulation  %%
%% (DNS) of a turbulent pipe flow of radius R and length 25R at  %%
%% a bulk Reynolds number Re_b = 11700; Re_b = U_b*D/nu, D=2R    %%
%%                                                               %%
%% Numerical method: Spectral element code nek5000               %%
%%                   http://nek5000.mcs.anl.gov                  %%
%%                                                               %%
%% Normalisation: nu/u_tau, u_tau                                %%
%%                                                               %%
%% El Khoury, G. K., Schlatter, P., Noorani, A., Fischer, P. F., %%
%% Brethouwer, G. & Johansson, A. V. Direct numerical simulation %%
%% of turbulent pipe flow at moderately high Reynolds numbers.   %%
%% Flow Turbul. Combust. 91, 475-495 (2013)                      %%
%%                                                               %%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%-----------------------------------------------------------------%
% Re_tau = 3.6121788913802544E+02
% u_tau/U_b = 6.1746647715901784E-02
%-----------------------------------------------------------------%
%-------------------------------------------------------------------------------------------%
% (1-r) ((1-r)^+) (Uz^+) (Uz/U_b) (ur_{rms}^+) (ut_{rms}^+) (uz_{rms}^+) (uzur^+) (dUzdr^+) %
%-------------------------------------------------------------------------------------------%
1.0000000000000000E+00 	 3.6121788913802544E+02 	 2.0605458715180188E+01 	 1.2723180003107892E+00 	 6.7016010040807894E-01 	 6.7016010040807894E-01 	 8.2878119000877504E-01 	 6.2917517148293291E-19 	 1.8665567173986103E-20
9.8745251137733137E-01 	 3.5668551178376168E+02 	 2.0604019919854061E+01 	 1.2722291595226516E+00 	 6.7029093185023902E-01 	 6.7040628430243976E-01 	 8.2902116904622447E-01 	 1.1917074139547136E-02 	 -6.3520128037059095E-04
9.7506224841930822E-01 	 3.5220992715219950E+02 	 2.0599763778803503E+01 	 1.2719663570805737E+00 	 6.7068220120130129E-01 	 6.7115236875577389E-01 	 8.2978671920859570E-01 	 2.3676390354336180E-02 	 -1.2683831431786112E-03
9.6282723830464922E-01 	 3.4779042262499996E+02 	 2.0592755654077664E+01 	 1.2715336288719781E+00 	 6.7133492827719343E-01 	 6.7241338150600816E-01 	 8.3115439661712331E-01 	 3.5273141134366082E-02 	 -1.9048713595073890E-03
9.5074553293197817E-01 	 3.4342629451309620E+02 	 2.0583060190970691E+01 	 1.2709349665270693E+00 	 6.7224587568161820E-01 	 6.7419169830680903E-01 	 8.3319856392971736E-01 	 4.6715420760415134E-02 	 -2.5377463356580851E-03
9.3881520860963785E-01 	 3.3911684794464838E+02 	 2.0570799003725799E+01 	 1.2701778793176803E+00 	 6.7340729021776302E-01 	 6.7647580107466398E-01 	 8.3602170729432879E-01 	 5.8024484811738157E-02 	 -3.1486835360065263E-03
9.2703436574939579E-01 	 3.3486139675440501E+02 	 2.0556165385279201E+01 	 1.2692743024346493E+00 	 6.7481139493321229E-01 	 6.7923576048540446E-01 	 8.3978645147494690E-01 	 6.9217727541438762E-02 	 -3.7237232621246861E-03
9.1540112856398370E-01 	 3.3065926337444847E+02 	 2.0539376236436880E+01 	 1.2682376287756327E+00 	 6.7644474981169123E-01 	 6.8243329377989814E-01 	 8.4462541965545446E-01 	 8.0298184161174013E-02 	 -4.2625216334639324E-03
9.0391364476842850E-01 	 3.2650977872631074E+02 	 2.0520625309911072E+01 	 1.2670798219210968E+00 	 6.7829802449769283E-01 	 6.8607525793564017E-01 	 8.5054414422356617E-01 	 9.1260447323670793E-02 	 -4.7722212738508596E-03
8.9257008528512438E-01 	 3.2241228211443996E+02 	 2.0500061555391458E+01 	 1.2658100790150579E+00 	 6.8036955973811708E-01 	 6.9018107081031022E-01 	 8.5742445224917152E-01 	 1.0209453558005938E-01 	 -5.2639939104214550E-03
8.8136864395260273E-01 	 3.1836612112100306E+02 	 2.0477782092548434E+01 	 1.2644343968715903E+00 	 6.8266288896925520E-01 	 6.9472758161272807E-01 	 8.6510863579561736E-01 	 1.1279041814609694E-01 	 -5.7493554912810977E-03
8.7030753723794541E-01 	 3.1437065150200408E+02 	 2.0453842289299274E+01 	 1.2629561942739764E+00 	 6.8518272326478491E-01 	 6.9962082687184757E-01 	 8.7345963715570574E-01 	 1.2334164664827992E-01 	 -6.2355712998233065E-03
8.5938500395280681E-01 	 3.1042523708470651E+02 	 2.0428280785568251E+01 	 1.2613778571080081E+00 	 6.8792388462754350E-01 	 7.0471018922992723E-01 	 8.8237217369406717E-01 	 1.3374907936332303E-01 	 -6.7228727851788520E-03
8.4859930497299041E-01 	 3.0652924966633907E+02 	 2.0401147469302469E+01 	 1.2597024657871807E+00 	 6.9086997104512915E-01 	 7.0988832023978266E-01 	 8.9176789272769186E-01 	 1.4401923332398878E-01 	 -7.2059611325901605E-03
8.3794872296153977E-01 	 3.0268206891407146E+02 	 2.0372510240139405E+01 	 1.2579342128864894E+00 	 6.9399776920350364E-01 	 7.1515642559381887E-01 	 9.0158289163329308E-01 	 1.5415832817301078E-01 	 -7.6809669565042135E-03
8.2743156209529700E-01 	 2.9888308226624224E+02 	 2.0342446928259363E+01 	 1.2560779041586594E+00 	 6.9728166603420483E-01 	 7.2059013418903584E-01 	 9.1174937028815572E-01 	 1.6417112459312275E-01 	 -8.1450920447513481E-03
8.1704614779488971E-01 	 2.9513168483482525E+02 	 2.0311045656577292E+01 	 1.2541389808982750E+00 	 7.0070011161132006E-01 	 7.2628456455169499E-01 	 9.2220747655322965E-01 	 1.7406508206709603E-01 	 -8.5938114499029238E-03
