"radial position, mm"	h75mm	h125mm	h175mm	h225mm	h275mm	h325mm	h375mm	h425mm	h475mm	h525mm	h575mm	h625mm	h675mm	h725mm	h775mm	h825mm
-72.663002	0	0	0	0	0	0	0	0	0	0.002202866	0.006386986	0.004060884	0.002899223	0.001390902	0	0
-72.525902	0	0	0	0	0	0	0	0	0	0.002086945	0.006387122	0.004060946	0.002899257	0.001390909	0	0
-72.388802	0	0	0	0	0	0	0	0	0	0.002086956	0.006387262	0.004061008	0.003015262	0.001390916	0	0
-72.251701	0	0	0	0	0	0	0	0	0	0.002086969	0.006503537	0.004061068	0.003015306	0.001390924	0	0
-72.114601	0	0	0	0	0	0	0	0	0	0.002086983	0.006503701	0.004061128	0.003015347	0.001390931	0	0
-71.977501	0	0	0	0	0	0	0	0	0	0.002086997	0.006503859	0.004061187	0.003015386	0.001390938	0	0
-71.840401	0	0	0	0	0	0	0	0	0	0.001971066	0.00638787	0.004061246	0.003015423	0.001390945	0	0
-71.7033	0	0	0	0	0	0	0	0	0	0.001971074	0.006387999	0.004177341	0.00301546	0.001390952	0	0
-71.5662	0	0	0	0	0	0	0	0	0	0.001971083	0.00650428	0.004177413	0.003015496	0.001390959	0	0
-71.4291	0	0	0	0	0	0	0	0	0	0.001971093	0.006504436	0.00417748	0.003131513	0.001390965	0	0
-71.292	0	0	0	0	0	0	0	0	0	0.001855156	0.006504587	0.004177546	0.003131559	0.001390972	0	0
-71.1549	0	0	0	0	0	0	0	0	0	0.00185516	0.006388578	0.004177609	0.003131602	0.001390979	0	0
-71.017799	0	0	0	0	0	0	0	0	0	0.001855166	0.006388701	0.004177672	0.003131642	0.001390985	0	0
-70.880699	0	0	0	0	0	0	0	0	0	0.001855173	0.006388827	0.004177733	0.003131682	0.001390992	0	0
-70.743599	0	0	0	0	0	0	0	0	0	0.00185518	0.006388954	0.004177794	0.00313172	0.001390998	0	0
-70.606499	0	0	0	0	0	0	0	0	0	0.001739239	0.006505247	0.004177853	0.003131758	0.001391005	0	0
-70.469398	0	0	0	0	0	0	0	0	0	0.001739241	0.006505397	0.004177912	0.003131795	0.001391011	0	0
-70.332298	0	0	0	0	0	0	0	0	0	0.001739244	0.00650554	0.00417797	0.003247825	0.001275099	0	0
-70.195198	0	0	0	0	0	0	0	0	0	0.001739249	0.00650568	0.004178028	0.003247872	0.001275101	0	0
-70.058098	0	0	0	0	0	0	0	0	0	0.001739254	0.006505817	0.004294143	0.003247916	0.001275104	0	0
-69.920998	0	0	0	0	0	0	0	0	0	0.00173926	0.006505953	0.004178154	0.003247957	0.001275107	0	0
-69.783897	0	0	0	0	0	0	0	0	0	0.001739266	0.006622267	0.004178206	0.003247998	0.00127511	0	0
-69.646797	0	0	0	0	0	0	0	0	0	0.001855223	0.006622423	0.004178259	0.003248037	0.001275114	0	0
-69.509697	0	0	0	0	0	0	0	0	0	0.001855235	0.006622571	0.004178313	0.003248076	0.001275118	0	0
-69.372597	0	0	0	0	0	0	0	0	0	0.001855246	0.006622715	0.004178367	0.003248114	0.001275122	0	0
-69.235497	0	0	0	0	0	0	0	0	0	0.001855256	0.006622857	0.00417842	0.003248151	0.001275126	0	0
-69.098396	0	0	0	0	0	0	0	0	0	0.001855266	0.006506803	0.004294541	0.003248188	0.00127513	0	0
-68.961304	0	0	0	0	0	0	0	0	0	0.001855276	0.006506918	0.004294608	0.003248224	0.001275134	0	0
-68.824203	0	0	0	0	0	0	0	0	0	0.001855285	0.006623234	0.004294671	0.003364269	0.001275138	0	0
-68.687103	0	0	0	0	0	0	0	0	0	0.001855294	0.006623376	0.004294732	0.003480327	0.001275142	0	0
-68.550003	0	0	0	0	0	0	0	0	0	0.001855304	0.006623513	0.004294791	0.003480383	0.001275146	0	0
-68.412903	0	0	0	0	0	0	0	0	0	0.001855313	0.006623647	0.004294849	0.003480434	0.00127515	0	0
-68.275803	0	0	0	0	0	0	0	0	0	0.001855322	0.006623778	0.004410985	0.003480482	0.001275154	0	0
-68.138702	0	0	0	0	0	0	0	0	0	0.001855331	0.006623908	0.004411057	0.003480528	0.001275158	0	0
