"radial position, mm"	h75mm	h125mm	h175mm	h225mm	h275mm	h325mm	h375mm	h425mm	h475mm	h525mm	h575mm	h625mm	h675mm	h725mm	h775mm	h825mm
-72.663002	0	0	0	0	0	0	0	0	0	0.021200551	0.020042051	0.01123745	0.0210847	0.00729855	0	0
-72.525902	0	0	0	0	0	0	0	0	0	0.021200551	0.019578651	0.01123745	0.0213164	0.0071827	0	0
-72.388802	0	0	0	0	0	0	0	0	0	0.020968851	0.0192311	0.01123745	0.0215481	0.0071827	0	0
-72.251701	0	0	0	0	0	0	0	0	0	0.0206213	0.018883551	0.0113533	0.0217798	0.00706685	0	0
-72.114601	0	0	0	0	0	0	0	0	0	0.020273751	0.018651851	0.01146915	0.0220115	0.00706685	0	0
-71.977501	0	0	0	0	0	0	0	0	0	0.0196945	0.0183043	0.0118167	0.022359051	0.006951	0	0
-71.840401	0	0	0	0	0	0	0	0	0	0.0192311	0.01795675	0.0120484	0.022590751	0.006951	0	0
-71.7033	0	0	0	0	0	0	0	0	0	0.018651851	0.0178409	0.01239595	0.0227066	0.006951	0	0
-71.5662	0	0	0	0	0	0	0	0	0	0.0180726	0.0176092	0.01285935	0.0229383	0.00683515	0	0
-71.4291	0	0	0	0	0	0	0	0	0	0.01749335	0.01749335	0.0134386	0.023285851	0.0067193	0	0
-71.292	0	0	0	0	0	0	0	0	0	0.016914099	0.01749335	0.013902	0.023517551	0.00660345	0	0
-71.1549	0	0	0	0	0	0	0	0	0	0.01633485	0.0176092	0.0145971	0.023749251	0.00660345	0	0
-71.017799	0	0	0	0	0	0	0	0	0	0.01587145	0.0178409	0.0152922	0.023980949	0.00637175	0	0
-70.880699	0	0	0	0	0	0	0	0	0	0.0155239	0.01818845	0.01610315	0.0243285	0.0062559	0	0
-70.743599	0	0	0	0	0	0	0	0	0	0.0152922	0.0187677	0.01679825	0.0245602	0.00614005	0	0
-70.606499	0	0	0	0	0	0	0	0	0	0.0152922	0.0192311	0.0176092	0.024676049	0.00614005	0	0
-70.469398	0	0	0	0	0	0	0	0	0	0.0152922	0.019578651	0.018420151	0.0250236	0.0060242	0	0
-70.332298	0	0	0	0	0	0	0	0	0	0.0155239	0.0199262	0.019346951	0.025371149	0.00590835	0	0
-70.195198	0	0	0	0	0	0	0	0	0	0.015755599	0.020273751	0.0201579	0.025602849	0.0057925	0	0
-70.058098	0	0	0	0	0	0	0	0	0	0.01610315	0.0206213	0.020968851	0.0259504	0.00567665	0	0
-69.920998	0	0	0	0	0	0	0	0	0	0.016450699	0.020853	0.0217798	0.026297949	0.0055608	0	0
-69.783897	0	0	0	0	0	0	0	0	0	0.016914099	0.0210847	0.022590751	0.026529649	0.0053291	0	0
-69.646797	0	0	0	0	0	0	0	0	0	0.017377499	0.0215481	0.023285851	0.026993049	0.00521325	0	0
-69.509697	0	0	0	0	0	0	0	0	0	0.01795675	0.0217798	0.023980949	0.0273406	0.0050974	0	0
-69.372597	0	0	0	0	0	0	0	0	0	0.018536	0.022127351	0.024676049	0.027688149	0.00498155	0	0
-69.235497	0	0	0	0	0	0	0	0	0	0.019115251	0.022590751	0.0252553	0.0280357	0.00498155	0	0
-69.098396	0	0	0	0	0	0	0	0	0	0.0196945	0.022822451	0.025834549	0.028383249	0.0048657	0	0
-68.961304	0	0	0	0	0	0	0	0	0	0.0201579	0.022822451	0.026297949	0.0287308	0.00474985	0	0
-68.824203	0	0	0	0	0	0	0	0	0	0.0206213	0.023054151	0.0266455	0.0289625	0.004634	0	0
-68.687103	0	0	0	0	0	0	0	0	0	0.020968851	0.023054151	0.0268772	0.0291942	0.004634	0	0
-68.550003	0	0	0	0	0	0	0	0	0	0.021200551	0.023285851	0.0271089	0.029310049	0.004634	0	0
-68.412903	0	0	0	0	0	0	0	0	0	0.021432251	0.023749251	0.027456449	0.02954175	0.004634	0	0
-68.275803	0	0	0	0	0	0	0	0	0	0.0215481	0.0240968	0.0275723	0.0296576	0.004634	0	0
-68.138702	0	0	0	0	0	0	0	0	0	0.021663951	0.024676049	0.027804	0.02977345	0.00474985	0	0
-68.001602	0	0	0	0	0	0	0	0	0	0.021663951	0.0252553	0.027688149	0.0298893	0.00474985	0	0
-67.864502	0	0	0	0	0	0	0	0	0	0.021663951	0.0259504	0.0275723	0.030121	0.00498155	0	0
-67.727402	0	0	0	0	0	0	0	0	0	0.0215481	0.026761349	0.0273406	0.03023685	0.0050974	0	0
-67.590302	0	0	0	0	0	0	0	0	0	0.021432251	0.027688149	0.0271089	0.030352701	0.00521325	0	0
-67.453201	0	0	0	0	0	0	0	0	0	0.0213164	0.0287308	0.026761349	0.030584401	0.0053291	0	0
-67.316101	0	0	0	0	0	0	0	0	0	0.0210847	0.0298893	0.0264138	0.030816101	0.0055608	0	0
-67.179001	0	0	0	0	0	0	0	0	0	0.020853	0.031047801	0.026066249	0.030816101	0.0057925	0	0
-67.041901	0	0	0	0	0	0	0	0	0	0.0206213	0.032090452	0.0257187	0.03093195	0.0060242	0	0
-66.9048	0	0	0	0	0	0.00011585	0	0.00057925	0	0.0203896	0.03324895	0.025487	0.031047801	0.0062559	0	0
-66.7677	0	0	0	0	0.00011585	0.0002317	0	0.0011585	0.00011585	0.021200551	0.034407452	0.024907749	0.03116365	0.00637175	0	0
