# Hussein 1994
# LDA
# <uv>/UcUc, r/(x-x0)
0.207472668497568 0.001629813096858581
0.19469542617844487 0.0023048519139174974
0.1819033674629657 0.0037730618159051363
0.16941181565819563 0.005820801764594815
0.15599822811095887 0.007228188460002758
0.143197621474505 0.009153997064833892
0.1301010668185284 0.010256222981446452
0.11693584386405538 0.015034491810901753
0.10368248234664366 0.016197778376343307
0.09057880442318818 0.017681336545325443
0.07762822926207888 0.019302126836710773
0.07762082106390085 0.019698712379175136
0.06471213071556738 0.019077269026627344
0.0647905816347348 0.023210863153863715
0.05148298830758384 0.01894402593401233
0.03888962126631561 0.018108941543237854
0.039080334880950265 0.016232739373129655
0.02607723749429664 0.012331886138653356
0.026241737484608993 0.01185898665726522
0.013061603156880187 0.009102177668347505
0.0130781291374312 0.008217486842850081
0.00012403983103229793 0.0016930677120710683
0.0001445548413714845 0.0005948308252466811
0.05171340226630079 0.023275865344031026

