# Hussein 1994
# LDA
# <vv>/UcUc, r/(x-x0)
0.20770415330005126 0.005030656213815224
0.1950169415918453 0.006233366868510476
0.18231845921679543 0.009675784438412334
0.16947316157627992 0.012293331561663609
0.1561728849110685 0.015324310472466365
0.14302357586226536 0.018355004650633062
0.13002701400884573 0.021031776162183713
0.11731310861600959 0.027539055826578847
0.09116605132780319 0.03348228013894953
0.07833054137165203 0.03415481862531084
0.0783163047398493 0.03698392209715078
0.065324191833868 0.03877659877375145
0.0651521658662516 0.04296159905848409
0.05215797678479908 0.045166853324728085
0.03917565156318217 0.04501452136443879
0.026034350619768044 0.04645384483969553
0.026179682902754322 0.047573413564662784
0.013060626696531952 0.04459226286516961
0.01304550027524155 0.04759818530399955
0.0000705899660219042 0.04597236195212695
0.00006821719405478155 0.04644387919743361
