# Hussein 1994
# LDA
# <uu>/UcUc, r/(x-x0)
0.2076613813612349 0.007286432160804018
0.19450872784977516 0.008919597989949749
0.1816854651950381 0.013190954773869348
0.16886704059450008 0.018969849246231157
0.15540071990246482 0.022864321608040195
0.14258511750020963 0.029522613065326636
0.12944173692596486 0.034045226130653264
0.11696923320066309 0.04761306532663316
0.10382827165351789 0.0528894472361809
0.09070182426897 0.06268844221105527
0.07821682223698724 0.07236180904522613
0.07786686964991839 0.06331658291457286
0.06471784467910797 0.06608040201005025
0.0647569522838841 0.07826633165829146
0.05191796595299991 0.07763819095477387
0.05194417207991174 0.0858040201005025
0.038777407577037945 0.08304020100502513
0.03876168390089084 0.07814070351758794
0.02592350391237316 0.07776381909547739
0.02561669064191303 0.08216080402010051
0.012763593319614765 0.0771356783919598
0.012767625031447353 0.07839195979899496
0.00008708497558394812 0.0728643216080402
0.00007216764180336538 0.07751256281407035
