# Hussein 1994
# LDA
# <ww>/UcUc, r/(x-x0)
0.1671146953405018 0.018542958555172774
0.15890083632019117 0.016109753975710753
0.1335125448028674 0.021102620315273005
0.1224611708482676 0.027877927410655257
0.1111111111111111 0.03209061488673139
0.10722819593787336 0.03221345303963532
0.0997610513739546 0.03374019556669103
0.08870967741935484 0.0394669589727529
0.08213859020310635 0.03842913317326095
0.07765830346475508 0.04006750878658176
0.07019115890083633 0.04112823189616174
0.06660692951015532 0.045794272192643634
0.05525686977299881 0.0442982218046421
0.05525686977299881 0.045579775202700346
0.04808841099163679 0.04768855482479034
0.044504181600955796 0.047810905800883874
0.02956989247311828 0.049116818039461316
0.022102747909199527 0.04808045377040053
0.0053763440860215075 0.047758221108675225
0.0035842293906810027 0.049042697567595786
3.469446951953614e-18 0.0476504854368932
