#x/d=       80 
# 1_r/d 2_T 3_Trms   
#
     -17.25  293.   6.
     -15.00  313.  46.
     -12.50  387. 125.
     -10.00  498. 188.
      -7.50  729. 287.
      -5.00 1020. 347.
      -2.50 1346. 345.
       0.00 1471. 304.
       2.50 1346. 345.
       5.00 1020. 347.
       7.50  729. 287.
      10.00  498. 188.
      12.50  387. 125.
      15.00  313.  46.
      17.25  293.   6.
     
     
     
     
     
     
     
     
     
 
 
 
 
 
    
    


