# x, um, vm, wm, urms, vrms, urms
0.000000000000000000e+00 1.402890828300923202e-02 1.510438649154129012e-04 1.510438649154129012e-04 7.427296920916394429e-02 7.772031824880248733e-03 7.772031824880248733e-03
5.502756878444943212e-01 5.657682210793343325e-01 -3.755430134470972691e-04 -3.755430134470972691e-04 2.016882679474009399e-01 5.163334819603421916e-02 5.163334819603421916e-02
1.100551375688927580e+00 1.126762656646641547e+00 -8.989317746381390644e-04 -8.989317746381390644e-04 4.243201502814121229e-01 1.059714098592998976e-01 1.059714098592998976e-01
1.650827063533421679e+00 1.714047869990324990e+00 -1.485874065972260950e-03 -1.485874065972260950e-03 6.812882537321829357e-01 1.659659330893612228e-01 1.659659330893612228e-01
2.201102751377916000e+00 2.316009920459432436e+00 -1.932025059940832221e-03 -1.932025059940832221e-03 9.453448610567340982e-01 2.306998521492009402e-01 2.306998521492009402e-01
2.751378439222349037e+00 2.928838792034916594e+00 -2.039255046485159706e-03 -2.039255046485159706e-03 1.205225223116480615e+00 3.001599468178481334e-01 3.001599468178481334e-01
3.301654127066843358e+00 3.545924306440710883e+00 -1.751029517083111872e-03 -1.751029517083111872e-03 1.450588774766087941e+00 3.710669916636890608e-01 3.710669916636890608e-01
3.851929814911276839e+00 4.156634883306983497e+00 -1.483515744661491245e-03 -1.483515744661491245e-03 1.668028417933520524e+00 4.358240500359438774e-01 4.358240500359438774e-01
4.402205502755770716e+00 4.750138013980707896e+00 -1.457857743713637019e-03 -1.457857743713637019e-03 1.848487735799617449e+00 4.989438556941363512e-01 4.989438556941363512e-01
4.952481190600265037e+00 5.321456024534491291e+00 -7.198866662443967682e-04 -7.198866662443967682e-04 1.995505999400058794e+00 5.645387950850986325e-01 5.645387950850986325e-01
5.502756878444698074e+00 5.866348361796115185e+00 -5.206761899074775204e-05 -5.206761899074775204e-05 2.108937223528644545e+00 6.283752149396020226e-01 6.283752149396020226e-01
6.053032566289192395e+00 6.382589257166513264e+00 -3.695182884575971046e-04 -3.695182884575971046e-04 2.190388318183017269e+00 6.854125514562244836e-01 6.854125514562244836e-01
6.603308254133686717e+00 6.868785397526844250e+00 -6.706924120832107299e-04 -6.706924120832107299e-04 2.242835525942092900e+00 7.402622678567905012e-01 7.402622678567905012e-01
7.153583941978119753e+00 7.325978520260948201e+00 -8.259104878085759887e-04 -8.259104878085759887e-04 2.278328651597482768e+00 7.903236763490757433e-01 7.903236763490757433e-01
7.703859629822614075e+00 7.753756793922940815e+00 -3.174388836644252351e-04 -3.174388836644252351e-04 2.296415877039627240e+00 8.365865735617414867e-01 8.365865735617414867e-01
8.254135317667108396e+00 8.154091374432805850e+00 -2.021324229621460425e-04 -2.021324229621460425e-04 2.295182730774909530e+00 8.777537641307473493e-01 8.777537641307473493e-01
8.804411005511541433e+00 8.523896922376589913e+00 -3.555112047319919713e-04 -3.555112047319919713e-04 2.274427462456770410e+00 9.158943456788937176e-01 9.158943456788937176e-01
9.354686693356036642e+00 8.866845609048208843e+00 -5.281250992014725060e-04 -5.281250992014725060e-04 2.245526597419667869e+00 9.364938123633966827e-01 9.364938123633966827e-01
9.904962381200530075e+00 9.183294245691570268e+00 -2.293251538464456674e-03 -2.293251538464456674e-03 2.208833362437972792e+00 9.526068526985558282e-01 9.526068526985558282e-01
1.045523806904496311e+01 9.475939383357243173e+00 -1.909155378283209498e-03 -1.909155378283209498e-03 2.169675017311073262e+00 9.664493639296309890e-01 9.664493639296309890e-01
1.100551375688945832e+01 9.744846715994006203e+00 -1.825362446583583126e-03 -1.825362446583583126e-03 2.130229816425410316e+00 9.755381698144899305e-01 9.755381698144899305e-01
1.155578944473389136e+01 9.994700708834354685e+00 -2.261422907634239379e-03 -2.261422907634239379e-03 2.098184645289457251e+00 9.759380303330204010e-01 9.759380303330204010e-01
1.210606513257838479e+01 1.022085019096035730e+01 -3.424631421427558678e-03 -3.424631421427558678e-03 2.068874481256913089e+00 9.781981985694359061e-01 9.781981985694359061e-01
1.265634082042288000e+01 1.042699287503417693e+01 -4.621425061039961465e-03 -4.621425061039961465e-03 2.038608142628847375e+00 9.747649185253517423e-01 9.747649185253517423e-01
1.320661650826731304e+01 1.061455962273501541e+01 -6.057194744558621474e-03 -6.057194744558621474e-03 2.009254831385964390e+00 9.679098631451481527e-01 9.679098631451481527e-01
1.375689219611180647e+01 1.078790534681602864e+01 -7.937503340158243853e-03 -7.937503340158243853e-03 1.990872973202935547e+00 9.599423389435385312e-01 9.599423389435385312e-01
1.430716788395630168e+01 1.094684449386285863e+01 -8.790528627563886852e-03 -8.790528627563886852e-03 1.986705942852561746e+00 9.531906714734048602e-01 9.531906714734048602e-01
1.485744357180073472e+01 1.109277847805537753e+01 -9.370719383686824944e-03 -9.370719383686824944e-03 1.995396708510214223e+00 9.462051938043934962e-01 9.462051938043934962e-01
1.540771925964522815e+01 1.122246994345501747e+01 -8.438139209456501505e-03 -8.438139209456501505e-03 2.015351085805844988e+00 9.409987225182935289e-01 9.409987225182935289e-01
1.595799494748972336e+01 1.134070926546640656e+01 -6.211803106121916926e-03 -6.211803106121916926e-03 2.041789531642499878e+00 9.368756628505245931e-01 9.368756628505245931e-01
1.650827063533415640e+01 1.145135623344521392e+01 -2.538842522706787931e-03 -2.538842522706787931e-03 2.063727901325965508e+00 9.338205092063627255e-01 9.338205092063627255e-01
1.705854632317864983e+01 1.155282946132975397e+01 1.295429989058566669e-03 1.295429989058566669e-03 2.085298626896081586e+00 9.312584896997537776e-01 9.312584896997537776e-01
1.760882201102308287e+01 1.164327940906023784e+01 3.572070018387489120e-03 3.572070018387489120e-03 2.118227441798683497e+00 9.296447994156499250e-01 9.296447994156499250e-01
1.815909769886757985e+01 1.172731093041500472e+01 4.333151776585109083e-03 4.333151776585109083e-03 2.161406794951243882e+00 9.285986304971062255e-01 9.285986304971062255e-01
1.870937338671207328e+01 1.180971059027536896e+01 4.451016398692913233e-03 4.451016398692913233e-03 2.198094863716507863e+00 9.269129879243847014e-01 9.269129879243847014e-01
1.925964907455650632e+01 1.189346271177047676e+01 5.564068258371976730e-03 5.564068258371976730e-03 2.224997834173016553e+00 9.235471383200299922e-01 9.235471383200299922e-01
1.980992476240099975e+01 1.197865025581009490e+01 7.466511546649727549e-03 7.466511546649727549e-03 2.236340508950264816e+00 9.188934681521703229e-01 9.188934681521703229e-01
2.036020045024549319e+01 1.206569729636208521e+01 9.932043318769904344e-03 9.932043318769904344e-03 2.233408324233496778e+00 9.143875502765669294e-01 9.143875502765669294e-01
2.091047613808992622e+01 1.215124410424916590e+01 1.153113912737635353e-02 1.153113912737635353e-02 2.226470996535067748e+00 9.094009139772752937e-01 9.094009139772752937e-01
2.146075182593442321e+01 1.223305075755625637e+01 1.296577096832515937e-02 1.296577096832515937e-02 2.224670862784468905e+00 9.025643071453725019e-01 9.025643071453725019e-01
2.201102751377891664e+01 1.231345476594095345e+01 1.414130572498779881e-02 1.414130572498779881e-02 2.217024283177838839e+00 8.952668959663528936e-01 8.952668959663528936e-01
2.256130320162334968e+01 1.239153981531302762e+01 1.444613598985525216e-02 1.444613598985525216e-02 2.215400910874811391e+00 8.903401378416354595e-01 8.903401378416354595e-01
2.311157888946784311e+01 1.246794574821359447e+01 1.383867488526105589e-02 1.383867488526105589e-02 2.215931885689265357e+00 8.894051278970545038e-01 8.894051278970545038e-01
2.366185457731227615e+01 1.254194858979743898e+01 1.377671862720833591e-02 1.377671862720833591e-02 2.218826436694726123e+00 8.903574913967230442e-01 8.903574913967230442e-01
2.421213026515676958e+01 1.261630602997253092e+01 1.261805321642400432e-02 1.261805321642400432e-02 2.212861560654338255e+00 8.898177059349263729e-01 8.898177059349263729e-01
2.476240595300126657e+01 1.269029793586655686e+01 1.090417850172893319e-02 1.090417850172893319e-02 2.199227766696332687e+00 8.861640557277559171e-01 8.861640557277559171e-01
2.531268164084569960e+01 1.275927949424681529e+01 7.771169277871089499e-03 7.771169277871089499e-03 2.189754520093645240e+00 8.785039100437377346e-01 8.785039100437377346e-01
2.586295732869019304e+01 1.281986674135523074e+01 3.600788579891563319e-03 3.600788579891563319e-03 2.196061134128768355e+00 8.733572390070510894e-01 8.733572390070510894e-01
2.641323301653468647e+01 1.287545783436356928e+01 -1.960877755516343690e-07 -1.960877755516343690e-07 2.214339954149421530e+00 8.743755005001156988e-01 8.743755005001156988e-01
2.696350870437911951e+01 1.293087186642877562e+01 -1.523850012718915535e-04 -1.523850012718915535e-04 2.239365384139654580e+00 8.758796754670260531e-01 8.758796754670260531e-01
2.751378439222361294e+01 1.299129638488728489e+01 -3.178520140342654815e-04 -3.178520140342654815e-04 2.254162325160965707e+00 8.769895302355639188e-01 8.769895302355639188e-01
2.806406008006810993e+01 1.305660894595409616e+01 -1.694391458496677643e-03 -1.694391458496677643e-03 2.250493485824014872e+00 8.779182316539723141e-01 8.779182316539723141e-01
2.861433576791254296e+01 1.312154895469570093e+01 -3.081911453640729260e-03 -3.081911453640729260e-03 2.238927522112857282e+00 8.768459492425146884e-01 8.768459492425146884e-01
2.916461145575703640e+01 1.318334944979596202e+01 -4.426552075563900887e-03 -4.426552075563900887e-03 2.227049831854216677e+00 8.746265084893917185e-01 8.746265084893917185e-01
2.971488714360146943e+01 1.324208537323534252e+01 -3.522540434211523727e-03 -3.522540434211523727e-03 2.224482640749364748e+00 8.743569124289923833e-01 8.743569124289923833e-01
3.026516283144596287e+01 1.329838191408148518e+01 -3.684481817138271845e-03 -3.684481817138271845e-03 2.226121392172037972e+00 8.730239554648032696e-01 8.730239554648032696e-01
