# z = 225 mm
# z/D = 70.3125 ~ 70
# r (mm)    r/D         PAH (arb units)
-34.5492  -10.796625    16.5   
-34.4121  -10.75378125  16     
-34.275   -10.7109375   16.5   
-34.1379  -10.66809375  16.5   
-34.0008  -10.62525     16.5   
-33.8637  -10.58240625  16.5   
-33.7266  -10.5395625   16.5   
-33.5895  -10.49671875  17     
-33.4524  -10.453875    18     
-33.3153  -10.41103125  18.5   
-33.1782  -10.3681875   19     
-33.0411  -10.32534375  19.5   
-32.904   -10.2825      20.5   
-32.7669  -10.23965625  21.5   
-32.6298  -10.1968125   22     
-32.4927  -10.15396875  23.5   
-32.3556  -10.111125    24     
-32.2185  -10.06828125  25     
-32.0814  -10.0254375   25.5   
-31.9443  -9.98259375   26     
-31.8072  -9.93975      26.5   
-31.6701  -9.89690625   27.5   
-31.533   -9.8540625    28.5   
-31.3959  -9.81121875   29.5   
-31.2588  -9.768375     30.5   
-31.1217  -9.72553125   31.5   
-30.9846  -9.6826875    32.5   
-30.8475  -9.63984375   34     
-30.7104  -9.597        34.5   
-30.5733  -9.55415625   35.5   
-30.4362  -9.5113125    36.5   
-30.2991  -9.46846875   37     
-30.162   -9.425625     38     
-30.0249  -9.38278125   38.5   
-29.8878  -9.3399375    39     
-29.7507  -9.29709375   40     
-29.6136  -9.25425      40.5   
-29.4765  -9.21140625   41.5   
-29.3394  -9.1685625    42.5   
-29.2023  -9.12571875   43.5   
-29.0652  -9.082875     44     
-28.9281  -9.04003125   45     
-28.791   -8.9971875    46.5   
-28.6539  -8.95434375   47.5   
-28.5168  -8.9115       48     
-28.3797  -8.86865625   49.5   
-28.2426  -8.8258125    50.5   
-28.1055  -8.78296875   51.5   
-27.9684  -8.740125     53     
-27.8313  -8.69728125   53.5   
-27.6942  -8.6544375    54.5   
-27.5571  -8.61159375   55     
-27.42    -8.56875      55.5   
-27.2829  -8.52590625   56.5   
-27.1458  -8.4830625    57     
-27.0087  -8.44021875   58.5   
-26.8716  -8.397375     59     
-26.7345  -8.35453125   61     
-26.5974  -8.3116875    62     
-26.4603  -8.26884375   64     
-26.3232  -8.226        66.5   
-26.1861  -8.18315625   68.5   
-26.049   -8.1403125    70.5   
-25.9119  -8.09746875   72     
-25.7748  -8.054625     74.5   
-25.6377  -8.01178125   76.5   
-25.5006  -7.9689375    78     
-25.3635  -7.92609375   80     
-25.2264  -7.88325      81     
-25.0893  -7.84040625   82     
-24.9522  -7.7975625    83     
-24.8151  -7.75471875   83.5   
-24.678   -7.711875     85     
-24.5409  -7.66903125   86     
-24.4038  -7.6261875    88.5   
-24.2667  -7.58334375   91     
-24.1296  -7.5405       94     
-23.9925  -7.49765625   97.5   
-23.8554  -7.4548125    102.5  
-23.7183  -7.41196875   107.5  
-23.5812  -7.369125     112.5  
-23.4441  -7.32628125   117.5  
-23.307   -7.2834375    121.5  
-23.1699  -7.24059375   125    
-23.0328  -7.19775      129.5  
-22.8957  -7.15490625   133    
-22.7586  -7.1120625    136.5  
-22.6215  -7.06921875   139.5  
-22.4844  -7.026375     143    
-22.3473  -6.98353125   146.5  
-22.2102  -6.9406875    150    
-22.0731  -6.89784375   152.5  
-21.936   -6.855        156.5  
-21.7989  -6.81215625   160.5  
-21.6618  -6.7693125    164.5  
-21.5247  -6.72646875   168    
-21.3876  -6.683625     171    
-21.2505  -6.64078125   173.5  
-21.1134  -6.5979375    175.5  
-20.9763  -6.55509375   178    
-20.8392  -6.51225      179.5  
-20.7021  -6.46940625   181    
-20.565   -6.4265625    183.5  
-20.4279  -6.38371875   186.5  
-20.2908  -6.340875     188.5  
-20.1537  -6.29803125   192.5  
-20.0166  -6.2551875    196    
-19.8795  -6.21234375   199    
-19.7424  -6.1695       202    
-19.6053  -6.12665625   204.5  
-19.4682  -6.0838125    207.5  
-19.3311  -6.04096875   210    
-19.194   -5.998125     213    
-19.0569  -5.95528125   216.5  
-18.9198  -5.9124375    221    
-18.7827  -5.86959375   226    
-18.6456  -5.82675      231.5  
-18.5085  -5.78390625   237    
-18.3714  -5.7410625    242.5  
-18.2343  -5.69821875   247.5  
-18.0972  -5.655375     252.5  
-17.9601  -5.61253125   258.5  
-17.823   -5.5696875    263.5  
-17.6859  -5.52684375   268    
-17.5488  -5.484        273.5  
-17.4117  -5.44115625   279    
-17.2746  -5.3983125    284    
-17.1375  -5.35546875   288.5  
-17.0004  -5.312625     294.5  
-16.8633  -5.26978125   301    
-16.7262  -5.2269375    308    
-16.5891  -5.18409375   313.5  
-16.452   -5.14125      320    
-16.3149  -5.09840625   327    
-16.1778  -5.0555625    333.5  
-16.0407  -5.01271875   339    
-15.9036  -4.969875     344    
-15.7665  -4.92703125   349.5  
-15.6294  -4.8841875    354.5  
-15.4923  -4.84134375   359    
-15.3552  -4.7985       361.5  
-15.2181  -4.75565625   365.5  
-15.081   -4.7128125    369    
-14.9439  -4.66996875   372.5  
-14.8068  -4.627125     377    
-14.6697  -4.58428125   380.5  
-14.5326  -4.5414375    385.5  
-14.3955  -4.49859375   390.5  
-14.2584  -4.45575      396    
-14.1213  -4.41290625   401    
-13.9842  -4.3700625    405.5  
-13.8471  -4.32721875   411.5  
-13.71    -4.284375     419.5  
-13.5729  -4.24153125   428    
-13.4358  -4.1986875    436    
