# z = 575 mm
# z/D = 179.6875 ~ 180
# r (mm)    r/D         OH (arb units)
-34.5492  -10.796625    301.5  
-34.4121  -10.75378125  301.5  
-34.275   -10.7109375   302    
-34.1379  -10.66809375  303    
-34.0008  -10.62525     305    
-33.8637  -10.58240625  306    
-33.7266  -10.5395625   307.5  
-33.5895  -10.49671875  309.5  
-33.4524  -10.453875    311.5  
-33.3153  -10.41103125  313.5  
-33.1782  -10.3681875   315    
-33.0411  -10.32534375  316    
-32.904   -10.2825      317    
-32.7669  -10.23965625  318    
-32.6298  -10.1968125   319    
-32.4927  -10.15396875  319.5  
-32.3556  -10.111125    320    
-32.2185  -10.06828125  321    
-32.0814  -10.0254375   322    
-31.9443  -9.98259375   322.5  
-31.8072  -9.93975      322.5  
-31.6701  -9.89690625   324    
-31.533   -9.8540625    325    
-31.3959  -9.81121875   326.5  
-31.2588  -9.768375     327.5  
-31.1217  -9.72553125   330    
-30.9846  -9.6826875    332    
-30.8475  -9.63984375   335.5  
-30.7104  -9.597        339    
-30.5733  -9.55415625   341.5  
-30.4362  -9.5113125    345    
-30.2991  -9.46846875   348    
-30.162   -9.425625     350.5  
-30.0249  -9.38278125   353    
-29.8878  -9.3399375    354.5  
-29.7507  -9.29709375   356.5  
-29.6136  -9.25425      357.5  
-29.4765  -9.21140625   359    
-29.3394  -9.1685625    360.5  
-29.2023  -9.12571875   362    
-29.0652  -9.082875     363.5  
-28.9281  -9.04003125   365    
-28.791   -8.9971875    366.5  
-28.6539  -8.95434375   368.5  
-28.5168  -8.9115       371    
-28.3797  -8.86865625   373.5  
-28.2426  -8.8258125    375.5  
-28.1055  -8.78296875   378    
-27.9684  -8.740125     381    
-27.8313  -8.69728125   383    
-27.6942  -8.6544375    385.5  
-27.5571  -8.61159375   386    
-27.42    -8.56875      386.5  
-27.2829  -8.52590625   388    
-27.1458  -8.4830625    389.5  
-27.0087  -8.44021875   391    
-26.8716  -8.397375     391.5  
-26.7345  -8.35453125   393    
-26.5974  -8.3116875    394.5  
-26.4603  -8.26884375   396.5  
-26.3232  -8.226        398    
-26.1861  -8.18315625   399    
-26.049   -8.1403125    400    
-25.9119  -8.09746875   401    
-25.7748  -8.054625     402.5  
-25.6377  -8.01178125   404    
-25.5006  -7.9689375    404.5  
-25.3635  -7.92609375   404.5  
-25.2264  -7.88325      404    
-25.0893  -7.84040625   403.5  
-24.9522  -7.7975625    403    
-24.8151  -7.75471875   401.5  
-24.678   -7.711875     399.5  
-24.5409  -7.66903125   398.5  
-24.4038  -7.6261875    398.5  
-24.2667  -7.58334375   398.5  
-24.1296  -7.5405       399    
-23.9925  -7.49765625   400.5  
-23.8554  -7.4548125    401.5  
-23.7183  -7.41196875   403    
-23.5812  -7.369125     404.5  
-23.4441  -7.32628125   405.5  
-23.307   -7.2834375    406    
-23.1699  -7.24059375   407    
-23.0328  -7.19775      407    
-22.8957  -7.15490625   407.5  
-22.7586  -7.1120625    407.5  
-22.6215  -7.06921875   407.5  
-22.4844  -7.026375     408    
-22.3473  -6.98353125   408.5  
-22.2102  -6.9406875    409    
-22.0731  -6.89784375   410    
-21.936   -6.855        411.5  
-21.7989  -6.81215625   414    
-21.6618  -6.7693125    415.5  
-21.5247  -6.72646875   418    
-21.3876  -6.683625     419.5  
-21.2505  -6.64078125   421    
-21.1134  -6.5979375    422.5  
-20.9763  -6.55509375   423    
-20.8392  -6.51225      423    
-20.7021  -6.46940625   423.5  
-20.565   -6.4265625    423.5  
-20.4279  -6.38371875   423.5  
-20.2908  -6.340875     423    
-20.1537  -6.29803125   422    
-20.0166  -6.2551875    422    
-19.8795  -6.21234375   421.5  
-19.7424  -6.1695       421    
-19.6053  -6.12665625   421    
-19.4682  -6.0838125    422.5  
-19.3311  -6.04096875   422.5  
-19.194   -5.998125     423.5  
-19.0569  -5.95528125   424    
-18.9198  -5.9124375    425.5  
-18.7827  -5.86959375   426.5  
-18.6456  -5.82675      428    
-18.5085  -5.78390625   428.5  
-18.3714  -5.7410625    428.5  
-18.2343  -5.69821875   429    
-18.0972  -5.655375     429    
-17.9601  -5.61253125   430    
-17.823   -5.5696875    430.5  
-17.6859  -5.52684375   430    
-17.5488  -5.484        431.5  
-17.4117  -5.44115625   432    
-17.2746  -5.3983125    433    
-17.1375  -5.35546875   434.5  
-17.0004  -5.312625     435.5  
-16.8633  -5.26978125   436    
-16.7262  -5.2269375    435.5  
-16.5891  -5.18409375   436    
-16.452   -5.14125      436.5  
-16.3149  -5.09840625   437    
-16.1778  -5.0555625    436.5  
-16.0407  -5.01271875   435.5  
