# z = 125 mm
# z/D = 39.0625 ~ 39
# r (mm)    r/D         OH (arb units)
-34.5492  -10.796625    4       
-34.4121  -10.75378125  3.5     
-34.275   -10.7109375   3.5     
-34.1379  -10.66809375  3.5     
-34.0008  -10.62525     4       
-33.8637  -10.58240625  4.5     
-33.7266  -10.5395625   4.5     
-33.5895  -10.49671875  4.5     
-33.4524  -10.453875    4.5     
-33.3153  -10.41103125  4.5     
-33.1782  -10.3681875   4.5     
-33.0411  -10.32534375  5       
-32.904   -10.2825      5       
-32.7669  -10.23965625  5       
-32.6298  -10.1968125   5       
-32.4927  -10.15396875  5       
-32.3556  -10.111125    5       
-32.2185  -10.06828125  5       
-32.0814  -10.0254375   5       
-31.9443  -9.98259375   5       
-31.8072  -9.93975      5.5     
-31.6701  -9.89690625   5.5     
-31.533   -9.8540625    5.5     
-31.3959  -9.81121875   6       
-31.2588  -9.768375     6       
-31.1217  -9.72553125   6       
-30.9846  -9.6826875    6       
-30.8475  -9.63984375   6       
-30.7104  -9.597        6       
-30.5733  -9.55415625   6       
-30.4362  -9.5113125    6       
-30.2991  -9.46846875   6.5     
-30.162   -9.425625     6.5     
-30.0249  -9.38278125   7       
-29.8878  -9.3399375    7       
-29.7507  -9.29709375   7       
-29.6136  -9.25425      7       
-29.4765  -9.21140625   7       
-29.3394  -9.1685625    7       
-29.2023  -9.12571875   7       
-29.0652  -9.082875     7       
-28.9281  -9.04003125   7       
-28.791   -8.9971875    7.5     
-28.6539  -8.95434375   7.5     
-28.5168  -8.9115       8       
-28.3797  -8.86865625   8       
-28.2426  -8.8258125    8       
-28.1055  -8.78296875   8       
-27.9684  -8.740125     9       
-27.8313  -8.69728125   9       
-27.6942  -8.6544375    9       
-27.5571  -8.61159375   9       
-27.42    -8.56875      9       
-27.2829  -8.52590625   9       
-27.1458  -8.4830625    9.5     
-27.0087  -8.44021875   9.5     
-26.8716  -8.397375     10      
-26.7345  -8.35453125   10      
-26.5974  -8.3116875    10.5    
-26.4603  -8.26884375   10.5    
-26.3232  -8.226        11      
-26.1861  -8.18315625   11.5    
-26.049   -8.1403125    11.5    
-25.9119  -8.09746875   12      
-25.7748  -8.054625     12      
-25.6377  -8.01178125   12.5    
-25.5006  -7.9689375    12.5    
-25.3635  -7.92609375   13      
-25.2264  -7.88325      13.5    
-25.0893  -7.84040625   13.5    
-24.9522  -7.7975625    14      
-24.8151  -7.75471875   14.5    
-24.678   -7.711875     14.5    
-24.5409  -7.66903125   15      
-24.4038  -7.6261875    15.5    
-24.2667  -7.58334375   16      
-24.1296  -7.5405       16.5    
-23.9925  -7.49765625   17      
-23.8554  -7.4548125    18      
-23.7183  -7.41196875   18.5    
-23.5812  -7.369125     19.5    
-23.4441  -7.32628125   20      
-23.307   -7.2834375    21      
-23.1699  -7.24059375   22.5    
-23.0328  -7.19775      23      
-22.8957  -7.15490625   24.5    
-22.7586  -7.1120625    25.5    
-22.6215  -7.06921875   27      
-22.4844  -7.026375     28.5    
-22.3473  -6.98353125   30      
-22.2102  -6.9406875    32.5    
-22.0731  -6.89784375   35      
-21.936   -6.855        37.5    
-21.7989  -6.81215625   40.5    
-21.6618  -6.7693125    43.5    
-21.5247  -6.72646875   47.5    
-21.3876  -6.683625     51      
-21.2505  -6.64078125   55      
-21.1134  -6.5979375    59      
-20.9763  -6.55509375   63.5    
-20.8392  -6.51225      68.5    
-20.7021  -6.46940625   74.5    
-20.565   -6.4265625    80      
-20.4279  -6.38371875   86      
-20.2908  -6.340875     93      
-20.1537  -6.29803125   100.5   
-20.0166  -6.2551875    108     
-19.8795  -6.21234375   116.5   
-19.7424  -6.1695       125.5   
-19.6053  -6.12665625   135     
-19.4682  -6.0838125    146     
-19.3311  -6.04096875   158     
-19.194   -5.998125     170.5   
-19.0569  -5.95528125   184     
-18.9198  -5.9124375    198.5   
-18.7827  -5.86959375   214     
-18.6456  -5.82675      231.5   
-18.5085  -5.78390625   248.5   
-18.3714  -5.7410625    267.5   
-18.2343  -5.69821875   287     
-18.0972  -5.655375     307.5   
-17.9601  -5.61253125   329     
-17.823   -5.5696875    352     
-17.6859  -5.52684375   376     
-17.5488  -5.484        402     
-17.4117  -5.44115625   428     
-17.2746  -5.3983125    456     
-17.1375  -5.35546875   486     
-17.0004  -5.312625     517.5   
-16.8633  -5.26978125   551.5   
-16.7262  -5.2269375    587.5   
-16.5891  -5.18409375   624     
-16.452   -5.14125      662.5   
-16.3149  -5.09840625   701.5   
-16.1778  -5.0555625    740     
-16.0407  -5.01271875   777.5   
-15.9036  -4.969875     815.5   
-15.7665  -4.92703125   852     
-15.6294  -4.8841875    886.5   
-15.4923  -4.84134375   920.5   
-15.3552  -4.7985       951     
-15.2181  -4.75565625   980.5   
-15.081   -4.7128125    1008.5  
-14.9439  -4.66996875   1036    
-14.8068  -4.627125     1064.5  
-14.6697  -4.58428125   1091.5  
-14.5326  -4.5414375    1118    
-14.3955  -4.49859375   1145.5  
-14.2584  -4.45575      1173    
-14.1213  -4.41290625   1200    
-13.9842  -4.3700625    1221.5  
-13.8471  -4.32721875   1239    
-13.71    -4.284375     1252    
-13.5729  -4.24153125   1261    
-13.4358  -4.1986875    1264    
-13.2987  -4.15584375   1261    
-13.1616  -4.113        1254    
-13.0245  -4.07015625   1243    
-12.8874  -4.0273125    1226.5  
-12.7503  -3.98446875   1207    
-12.6132  -3.941625     1185.5  
-12.4761  -3.89878125   1163    
-12.339   -3.8559375    1139    
-12.2019  -3.81309375   1111.5  
-12.0648  -3.77025      1084.5  
-11.9277  -3.72740625   1057    
-11.7906  -3.6845625    1028.5  
-11.6535  -3.64171875   999     
-11.5164  -3.598875     967.5   
-11.3793  -3.55603125   935     
-11.2422  -3.5131875    902     
-11.1051  -3.47034375   866.5   
-10.968   -3.4275       831.5   
-10.8309  -3.38465625   795     
-10.6938  -3.3418125    759     
-10.5567  -3.29896875   721     
-10.4196  -3.256125     682.5   
-10.2825  -3.21328125   644.5   
-10.1454  -3.1704375    606     
-10.0083  -3.12759375   567     
-9.8712   -3.08475      529     
-9.7341   -3.04190625   492     
-9.597    -2.9990625    456.5   
-9.4599   -2.95621875   423     
-9.3228   -2.913375     391     
-9.1857   -2.87053125   361.5   
-9.0486   -2.8276875    334.5   
-8.9115   -2.78484375   308.5   
-8.7744   -2.742        284.5   
-8.6373   -2.69915625   262.5   
-8.5002   -2.6563125    242.5   
-8.3631   -2.61346875   225     
-8.226    -2.570625     208.5   
-8.0889   -2.52778125   194     
-7.9518   -2.4849375    180.5   
-7.8147   -2.44209375   167.5   
-7.6776   -2.39925      156     
-7.5405   -2.35640625   145     
-7.4034   -2.3135625    134     
-7.2663   -2.27071875   124.5   
-7.1292   -2.227875     116     
-6.9921   -2.18503125   107.5   
-6.855    -2.1421875    100     
-6.7179   -2.09934375   93      
-6.5808   -2.0565       86      
-6.4437   -2.01365625   80.5    
-6.3066   -1.9708125    75      
-6.1695   -1.92796875   70      
-6.0324   -1.885125     65.5    
-5.8953   -1.84228125   60.5    
-5.7582   -1.7994375    57      
-5.6211   -1.75659375   53.5    
-5.484    -1.71375      51      
-5.3469   -1.67090625   48      
-5.2098   -1.6280625    45.5    
-5.0727   -1.58521875   43.5    
-4.9356   -1.542375     41.5    
-4.7985   -1.49953125   40      
-4.6614   -1.4566875    38.5    
-4.5243   -1.41384375   37      
-4.3872   -1.371        36      
-4.2501   -1.32815625   35      
-4.113    -1.2853125    34      
-3.9759   -1.24246875   34      
-3.8388   -1.199625     33.5    
-3.7017   -1.15678125   33      
-3.5646   -1.1139375    32.5    
-3.4275   -1.07109375   32.5    
-3.2904   -1.02825      32.5    
-3.1533   -0.98540625   31.5    
-3.0162   -0.9425625    31.5    
-2.8791   -0.89971875   31      
-2.742    -0.856875     30.5    
-2.6049   -0.81403125   30      
-2.4678   -0.7711875    30      
-2.3307   -0.72834375   30      
-2.1936   -0.6855       29.5    
-2.0565   -0.64265625   29.5    
-1.9194   -0.5998125    29.5    
-1.7823   -0.55696875   29.5    
-1.6452   -0.514125     29.5    
-1.5081   -0.47128125   29.5    
-1.371    -0.4284375    29.5    
-1.2339   -0.38559375   29.5    
-1.0968   -0.34275      29      
-0.9597   -0.29990625   29      
-0.8226   -0.2570625    29.5    
-0.6855   -0.21421875   29      
-0.5484   -0.171375     29      
-0.4113   -0.12853125   29      
-0.2742   -0.0856875    29.5    
-0.1371   -0.04284375   29.5    
0         0             29      
0.1371    0.04284375    29.5    
0.2742    0.0856875     29.5    
0.4113    0.12853125    29      
0.5484    0.171375      29      
0.6855    0.21421875    29      
0.8226    0.2570625     29.5    
0.9597    0.29990625    29      
1.0968    0.34275       29      
1.2339    0.38559375    29.5    
1.371     0.4284375     29.5    
1.5081    0.47128125    29.5    
1.6452    0.514125      29.5    
1.7823    0.55696875    29.5    
1.9194    0.5998125     29.5    
2.0565    0.64265625    29.5    
2.1936    0.6855        29.5    
2.3307    0.72834375    30      
2.4678    0.7711875     30      
2.6049    0.81403125    30      
2.742     0.856875      30.5    
2.8791    0.89971875    31      
3.0162    0.9425625     31.5    
3.1533    0.98540625    31.5    
3.2904    1.02825       32.5    
3.4275    1.07109375    32.5    
3.5646    1.1139375     32.5    
3.7017    1.15678125    33      
3.8388    1.199625      33.5    
3.9759    1.24246875    34      
4.113     1.2853125     34      
4.2501    1.32815625    35      
4.3872    1.371         36      
4.5243    1.41384375    37      
4.6614    1.4566875     38.5    
4.7985    1.49953125    40      
4.9356    1.542375      41.5    
5.0727    1.58521875    43.5    
5.2098    1.6280625     45.5    
5.3469    1.67090625    48      
5.484     1.71375       51      
5.6211    1.75659375    53.5    
5.7582    1.7994375     57      
5.8953    1.84228125    60.5    
6.0324    1.885125      65.5    
6.1695    1.92796875    70      
6.3066    1.9708125     75      
6.4437    2.01365625    80.5    
6.5808    2.0565        86      
6.7179    2.09934375    93      
6.855     2.1421875     100     
6.9921    2.18503125    107.5   
7.1292    2.227875      116     
7.2663    2.27071875    124.5   
7.4034    2.3135625     134     
7.5405    2.35640625    145     
7.6776    2.39925       156     
7.8147    2.44209375    167.5   
7.9518    2.4849375     180.5   
8.0889    2.52778125    194     
8.226     2.570625      208.5   
8.3631    2.61346875    225     
8.5002    2.6563125     242.5   
8.6373    2.69915625    262.5   
8.7744    2.742         284.5   
8.9115    2.78484375    308.5   
9.0486    2.8276875     334.5   
9.1857    2.87053125    361.5   
9.3228    2.913375      391     
9.4599    2.95621875    423     
9.597     2.9990625     456.5   
9.7341    3.04190625    492     
9.8712    3.08475       529     
10.0083   3.12759375    567     
10.1454   3.1704375     606     
10.2825   3.21328125    644.5   
10.4196   3.256125      682.5   
10.5567   3.29896875    721     
10.6938   3.3418125     759     
10.8309   3.38465625    795     
10.968    3.4275        831.5   
11.1051   3.47034375    866.5   
11.2422   3.5131875     902     
11.3793   3.55603125    935     
11.5164   3.598875      967.5   
11.6535   3.64171875    999     
11.7906   3.6845625     1028.5  
11.9277   3.72740625    1057    
12.0648   3.77025       1084.5  
12.2019   3.81309375    1111.5  
12.339    3.8559375     1139    
12.4761   3.89878125    1163    
12.6132   3.941625      1185.5  
12.7503   3.98446875    1207    
12.8874   4.0273125     1226.5  
13.0245   4.07015625    1243    
13.1616   4.113         1254    
13.2987   4.15584375    1261    
13.4358   4.1986875     1264    
13.5729   4.24153125    1261    
13.71     4.284375      1252    
13.8471   4.32721875    1239    
13.9842   4.3700625     1221.5  
14.1213   4.41290625    1200    
14.2584   4.45575       1173    
14.3955   4.49859375    1145.5  
14.5326   4.5414375     1118    
14.6697   4.58428125    1091.5  
14.8068   4.627125      1064.5  
14.9439   4.66996875    1036    
15.081    4.7128125     1008.5  
15.2181   4.75565625    980.5   
15.3552   4.7985        951     
15.4923   4.84134375    920.5   
15.6294   4.8841875     886.5   
15.7665   4.92703125    852     
15.9036   4.969875      815.5   
16.0407   5.01271875    777.5   
16.1778   5.0555625     740     
16.3149   5.09840625    701.5   
16.452    5.14125       662.5   
16.5891   5.18409375    624     
16.7262   5.2269375     587.5   
16.8633   5.26978125    551.5   
17.0004   5.312625      517.5   
17.1375   5.35546875    486     
17.2746   5.3983125     456     
17.4117   5.44115625    428     
17.5488   5.484         402     
17.6859   5.52684375    376     
17.823    5.5696875     352     
17.9601   5.61253125    329     
18.0972   5.655375      307.5   
18.2343   5.69821875    287     
18.3714   5.7410625     267.5   
18.5085   5.78390625    248.5   
18.6456   5.82675       231.5   
18.7827   5.86959375    214     
18.9198   5.9124375     198.5   
19.0569   5.95528125    184     
19.194    5.998125      170.5   
19.3311   6.04096875    158     
19.4682   6.0838125     146     
19.6053   6.12665625    135     
19.7424   6.1695        125.5   
19.8795   6.21234375    116.5   
20.0166   6.2551875     108     
20.1537   6.29803125    100.5   
20.2908   6.340875      93      
20.4279   6.38371875    86      
20.565    6.4265625     80      
20.7021   6.46940625    74.5    
20.8392   6.51225       68.5    
20.9763   6.55509375    63.5    
21.1134   6.5979375     59      
21.2505   6.64078125    55      
21.3876   6.683625      51      
21.5247   6.72646875    47.5    
21.6618   6.7693125     43.5    
21.7989   6.81215625    40.5    
21.936    6.855         37.5    
22.0731   6.89784375    35      
22.2102   6.9406875     32.5    
22.3473   6.98353125    30      
22.4844   7.026375      28.5    
22.6215   7.06921875    27      
22.7586   7.1120625     25.5    
22.8957   7.15490625    24.5    
23.0328   7.19775       23      
23.1699   7.24059375    22.5    
23.307    7.2834375     21      
23.4441   7.32628125    20      
23.5812   7.369125      19.5    
23.7183   7.41196875    18.5    
23.8554   7.4548125     18      
23.9925   7.49765625    17      
24.1296   7.5405        16.5    
24.2667   7.58334375    16      
24.4038   7.6261875     15.5    
24.5409   7.66903125    15      
24.678    7.711875      14.5    
24.8151   7.75471875    14.5    
24.9522   7.7975625     14      
25.0893   7.84040625    13.5    
25.2264   7.88325       13.5    
25.3635   7.92609375    13      
25.5006   7.9689375     12.5    
25.6377   8.01178125    12.5    
25.7748   8.054625      12      
25.9119   8.09746875    12      
26.049    8.1403125     11.5    
26.1861   8.18315625    11.5    
26.3232   8.226         11      
26.4603   8.26884375    10.5    
26.5974   8.3116875     10.5    
26.7345   8.35453125    10      
26.8716   8.397375      10      
27.0087   8.44021875    9.5     
27.1458   8.4830625     9.5     
27.2829   8.52590625    9       
27.42     8.56875       9       
27.5571   8.61159375    9       
27.6942   8.6544375     9       
27.8313   8.69728125    9       
27.9684   8.740125      9       
28.1055   8.78296875    8       
28.2426   8.8258125     8       
28.3797   8.86865625    8       
28.5168   8.9115        8       
28.6539   8.95434375    7.5     
28.791    8.9971875     7.5     
28.9281   9.04003125    7       
29.0652   9.082875      7       
29.2023   9.12571875    7       
29.3394   9.1685625     7       
29.4765   9.21140625    7       
29.6136   9.25425       7       
29.7507   9.29709375    7       
29.8878   9.3399375     7       
30.0249   9.38278125    7       
30.162    9.425625      6.5     
30.2991   9.46846875    6.5     
30.4362   9.5113125     6       
30.5733   9.55415625    6       
30.7104   9.597         6       
30.8475   9.63984375    6       
30.9846   9.6826875     6       
31.1217   9.72553125    6       
31.2588   9.768375      6       
31.3959   9.81121875    6       
31.533    9.8540625     5.5     
31.6701   9.89690625    5.5     
31.8072   9.93975       5.5     
31.9443   9.98259375    5       
32.0814   10.0254375    5       
32.2185   10.06828125   5       
32.3556   10.111125     5       
32.4927   10.15396875   5       
32.6298   10.1968125    5       
32.7669   10.23965625   5       
32.904    10.2825       5       
33.0411   10.32534375   5       
33.1782   10.3681875    4.5     
33.3153   10.41103125   4.5     
33.4524   10.453875     4.5     
33.5895   10.49671875   4.5     
33.7266   10.5395625    4.5     
33.8637   10.58240625   4.5     
34.0008   10.62525      4       
34.1379   10.66809375   3.5     
34.275    10.7109375    3.5     
34.4121   10.75378125   3.5     
34.5492   10.796625     4       
