#            x/D           =            23.4375  ~  23  
#            r(mm)         r/D          fv(ppm)  rms_fv
-54.428699   -17.00896844  0            0
-54.291599   -16.96612469  0            0
-54.154499   -16.92328094  0            0
-54.017399   -16.88043719  0            0
-53.880299   -16.83759344  0            0
-53.743198   -16.79474938  0            0
-53.606098   -16.75190563  0            0
-53.469002   -16.70906313  0            0
-53.331902   -16.66621938  0            0
-53.194801   -16.62337531  0            0
-53.057701   -16.58053156  0            0
-52.920601   -16.53768781  0            0
-52.783501   -16.49484406  0            0
-52.6464     -16.452       0            0
-52.5093     -16.40915625  0            0
-52.3722     -16.3663125   0            0
-52.2351     -16.32346875  0            0
-52.098      -16.280625    0            0
-51.960899   -16.23778094  0            0
-51.823799   -16.19493719  0            0
-51.686699   -16.15209344  0            0
-51.549599   -16.10924969  0            0
-51.412498   -16.06640563  0            0
-51.275398   -16.02356188  0            0
-51.138302   -15.98071938  0            0
-51.001202   -15.93787563  0            0
-50.864101   -15.89503156  0            0
-50.727001   -15.85218781  0            0
-50.589901   -15.80934406  0            0
-50.452801   -15.76650031  0            0
-50.315701   -15.72365656  0            0
-50.1786     -15.6808125   0            0
-50.0415     -15.63796875  0            0
-49.9044     -15.595125    0            0
-49.7673     -15.55228125  0            0
-49.630199   -15.50943719  0            0
-49.493099   -15.46659344  0            0
-49.355999   -15.42374969  0            0
-49.218899   -15.38090594  0            0
-49.081799   -15.33806219  0            0
-48.944698   -15.29521813  0            0
-48.807598   -15.25237438  0            0
-48.670502   -15.20953188  0            0
-48.533401   -15.16668781  0            0
-48.396301   -15.12384406  0            0
-48.259201   -15.08100031  0            0
-48.122101   -15.03815656  0            0
-47.985001   -14.99531281  0            0
-47.8479     -14.95246875  0            0
-47.7108     -14.909625    0            0
-47.5737     -14.86678125  0            0
-47.4366     -14.8239375   0            0
-47.2995     -14.78109375  0            0
-47.162399   -14.73824969  0            0
-47.025299   -14.69540594  0            0
-46.888199   -14.65256219  0            0
-46.751099   -14.60971844  0            0
-46.613998   -14.56687438  0            0
-46.476898   -14.52403063  0            0
-46.339802   -14.48118813  0            0
-46.202702   -14.43834438  0            0
-46.065601   -14.39550031  0            0
-45.928501   -14.35265656  0            0
-45.791401   -14.30981281  0            0
-45.654301   -14.26696906  0            0
-45.5172     -14.224125    0            0
-45.3801     -14.18128125  0            0
-45.243      -14.1384375   0            0
-45.1059     -14.09559375  0            0
-44.9688     -14.05275     0            0
-44.831699   -14.00990594  0            0
-44.694599   -13.96706219  0            0
-44.557499   -13.92421844  0            0
-44.420399   -13.88137469  0            0
-44.283298   -13.83853063  0            0
-44.146198   -13.79568688  0            0
-44.009102   -13.75284438  0            0
-43.872002   -13.71000063  0            0
-43.734901   -13.66715656  0            0
-43.597801   -13.62431281  0            0
-43.460701   -13.58146906  0            0
-43.323601   -13.53862531  0            0
-43.186501   -13.49578156  0            0
-43.0494     -13.4529375   0            0
-42.9123     -13.41009375  0            0
-42.7752     -13.36725     0            0
-42.6381     -13.32440625  0            0
-42.500999   -13.28156219  0            0
-42.363899   -13.23871844  0            0
-42.226799   -13.19587469  0            0
-42.089699   -13.15303094  0            0
-41.952599   -13.11018719  0            0
-41.815498   -13.06734313  0            0
-41.678398   -13.02449938  0            0
-41.541302   -12.98165688  0            0
-41.404202   -12.93881313  0            0
-41.267101   -12.89596906  0            0
-41.130001   -12.85312531  0            0
-40.992901   -12.81028156  0            0
-40.855801   -12.76743781  0            0
-40.7187     -12.72459375  0            0
-40.5816     -12.68175     0            0
-40.4445     -12.63890625  0            0
-40.3074     -12.5960625   0            0
-40.1703     -12.55321875  0            0
-40.033199   -12.51037469  0            0
-39.896099   -12.46753094  0            0
-39.758999   -12.42468719  0            0
-39.621899   -12.38184344  0            0
-39.484798   -12.33899938  0            0
-39.347698   -12.29615563  0            0
-39.210602   -12.25331313  0            0
-39.073502   -12.21046938  0            0
-38.936401   -12.16762531  0            0
-38.799301   -12.12478156  0            0
-38.662201   -12.08193781  0            0
-38.525101   -12.03909406  0            0
-38.388      -11.99625     0            0
-38.2509     -11.95340625  0            0
-38.1138     -11.9105625   0            0
-37.9767     -11.86771875  0            0
-37.8396     -11.824875    0            0
-37.702499   -11.78203094  0            0
-37.565399   -11.73918719  0            0
-37.428299   -11.69634344  0            0
-37.291199   -11.65349969  0            0
-37.154099   -11.61065594  0            0
-37.016998   -11.56781188  0            0
-36.879902   -11.52496938  0            0
-36.742802   -11.48212563  0            0
-36.605701   -11.43928156  0            0
-36.468601   -11.39643781  0            0
-36.331501   -11.35359406  0            0
-36.194401   -11.31075031  0            0
-36.057301   -11.26790656  0            0
-35.9202     -11.2250625   0            0
-35.7831     -11.18221875  0            0.00011585
-35.646      -11.139375    0            0.00011585
-35.5089     -11.09653125  0            0.0002317
-35.371799   -11.05368719  0.00011585   0.00034755
-35.234699   -11.01084344  0.00011585   0.00034755
-35.097599   -10.96799969  0.000231701  0.0004634
-34.960499   -10.92515594  0.000231702  0.00057925
-34.823399   -10.88231219  0.000231702  0.00057925
-34.686298   -10.83946813  0.000231703  0.00081095
-34.549198   -10.79662438  0.000347555  0.00081095
-34.412102   -10.75378188  0.000347556  0.00081095
-34.275002   -10.71093813  0.000347557  0.0009268
-34.137901   -10.66809406  0.000347558  0.0009268
-34.000801   -10.62525031  0.000347559  0.00104265
-33.863701   -10.58240656  0.00034756   0.00104265
-33.726601   -10.53956281  0.000347561  0.00104265
-33.5895     -10.49671875  0.000347562  0.00104265
-33.4524     -10.453875    0.000347562  0.00104265
-33.3153     -10.41103125  0.000347563  0.0009268
-33.1782     -10.3681875   0.000347564  0.0009268
-33.0411     -10.32534375  0.000347564  0.0009268
-32.903999   -10.28249969  0.000347565  0.00104265
-32.766899   -10.23965594  0.000347565  0.00104265
-32.629799   -10.19681219  0.000347566  0.00104265
-32.492699   -10.15396844  0.000347566  0.00104265
-32.355598   -10.11112438  0.000347567  0.00104265
-32.218498   -10.06828063  0.000347567  0.00104265
