# z = 275 mm
# z/D = 85.9375 ~ 86
# r (mm)    r/D         PAH (arb units)
-34.5492  -10.796625    56     
-34.4121  -10.75378125  57     
-34.275   -10.7109375   58.5   
-34.1379  -10.66809375  59.5   
-34.0008  -10.62525     60.5   
-33.8637  -10.58240625  62     
-33.7266  -10.5395625   63     
-33.5895  -10.49671875  64     
-33.4524  -10.453875    64     
-33.3153  -10.41103125  65     
-33.1782  -10.3681875   66.5   
-33.0411  -10.32534375  67.5   
-32.904   -10.2825      69     
-32.7669  -10.23965625  70.5   
-32.6298  -10.1968125   72.5   
-32.4927  -10.15396875  74.5   
-32.3556  -10.111125    76.5   
-32.2185  -10.06828125  78     
-32.0814  -10.0254375   79     
-31.9443  -9.98259375   80     
-31.8072  -9.93975      80.5   
-31.6701  -9.89690625   82     
-31.533   -9.8540625    83     
-31.3959  -9.81121875   84.5   
-31.2588  -9.768375     85.5   
-31.1217  -9.72553125   87     
-30.9846  -9.6826875    89.5   
-30.8475  -9.63984375   91.5   
-30.7104  -9.597        93     
-30.5733  -9.55415625   95     
-30.4362  -9.5113125    97     
-30.2991  -9.46846875   99.5   
-30.162   -9.425625     101.5  
-30.0249  -9.38278125   103.5  
-29.8878  -9.3399375    105    
-29.7507  -9.29709375   107    
-29.6136  -9.25425      108.5  
-29.4765  -9.21140625   111    
-29.3394  -9.1685625    112    
-29.2023  -9.12571875   114    
-29.0652  -9.082875     116.5  
-28.9281  -9.04003125   118    
-28.791   -8.9971875    120.5  
-28.6539  -8.95434375   123.5  
-28.5168  -8.9115       126.5  
-28.3797  -8.86865625   129    
-28.2426  -8.8258125    132    
-28.1055  -8.78296875   134.5  
-27.9684  -8.740125     138    
-27.8313  -8.69728125   141    
-27.6942  -8.6544375    143.5  
-27.5571  -8.61159375   147    
-27.42    -8.56875      150    
-27.2829  -8.52590625   153    
-27.1458  -8.4830625    156    
-27.0087  -8.44021875   159    
-26.8716  -8.397375     161.5  
-26.7345  -8.35453125   164    
-26.5974  -8.3116875    166.5  
-26.4603  -8.26884375   169.5  
-26.3232  -8.226        173.5  
-26.1861  -8.18315625   177.5  
-26.049   -8.1403125    181.5  
-25.9119  -8.09746875   185    
-25.7748  -8.054625     189    
