# z = 325 mm
# z/D = 101.5625 ~ 102
# r (mm)    r/D         OH (arb units)
-34.5492  -10.796625    414    
-34.4121  -10.75378125  415    
-34.275   -10.7109375   417    
-34.1379  -10.66809375  419.5  
-34.0008  -10.62525     422.5  
-33.8637  -10.58240625  425.5  
-33.7266  -10.5395625   429.5  
-33.5895  -10.49671875  433    
-33.4524  -10.453875    437    
-33.3153  -10.41103125  441.5  
-33.1782  -10.3681875   445.5  
-33.0411  -10.32534375  449    
-32.904   -10.2825      452.5  
-32.7669  -10.23965625  455.5  
-32.6298  -10.1968125   458.5  
-32.4927  -10.15396875  461    
-32.3556  -10.111125    463    
-32.2185  -10.06828125  465.5  
-32.0814  -10.0254375   467.5  
-31.9443  -9.98259375   468    
-31.8072  -9.93975      469    
-31.6701  -9.89690625   470    
-31.533   -9.8540625    472    
-31.3959  -9.81121875   472.5  
-31.2588  -9.768375     473.5  
-31.1217  -9.72553125   475    
-30.9846  -9.6826875    478    
-30.8475  -9.63984375   482    
-30.7104  -9.597        485    
-30.5733  -9.55415625   488.5  
-30.4362  -9.5113125    493    
-30.2991  -9.46846875   497    
-30.162   -9.425625     500.5  
-30.0249  -9.38278125   503    
-29.8878  -9.3399375    504.5  
-29.7507  -9.29709375   505.5  
-29.6136  -9.25425      506.5  
-29.4765  -9.21140625   507.5  
-29.3394  -9.1685625    508    
-29.2023  -9.12571875   509    
-29.0652  -9.082875     509.5  
-28.9281  -9.04003125   510    
-28.791   -8.9971875    510.5  
-28.6539  -8.95434375   510    
-28.5168  -8.9115       509.5  
-28.3797  -8.86865625   509    
-28.2426  -8.8258125    507.5  
-28.1055  -8.78296875   505    
-27.9684  -8.740125     504    
-27.8313  -8.69728125   502    
-27.6942  -8.6544375    501    
-27.5571  -8.61159375   499    
-27.42    -8.56875      496    
-27.2829  -8.52590625   494.5  
-27.1458  -8.4830625    493    
-27.0087  -8.44021875   491.5  
-26.8716  -8.397375     489.5  
-26.7345  -8.35453125   487.5  
-26.5974  -8.3116875    486    
-26.4603  -8.26884375   485.5  
-26.3232  -8.226        483.5  
-26.1861  -8.18315625   481.5  
-26.049   -8.1403125    480    
-25.9119  -8.09746875   477.5  
-25.7748  -8.054625     476.5  
-25.6377  -8.01178125   474.5  
-25.5006  -7.9689375    472    
-25.3635  -7.92609375   468.5  
-25.2264  -7.88325      464.5  
-25.0893  -7.84040625   461    
-24.9522  -7.7975625    457    
-24.8151  -7.75471875   452    
-24.678   -7.711875     447    
-24.5409  -7.66903125   443.5  
-24.4038  -7.6261875    440.5  
-24.2667  -7.58334375   438.5  
-24.1296  -7.5405       436    
-23.9925  -7.49765625   434.5  
-23.8554  -7.4548125    433    
-23.7183  -7.41196875   432.5  
-23.5812  -7.369125     430.5  
-23.4441  -7.32628125   428    
-23.307   -7.2834375    426.5  
-23.1699  -7.24059375   424    
-23.0328  -7.19775      421    
-22.8957  -7.15490625   419    
-22.7586  -7.1120625    415.5  
-22.6215  -7.06921875   413.5  
-22.4844  -7.026375     411    
-22.3473  -6.98353125   410    
-22.2102  -6.9406875    408.5  
-22.0731  -6.89784375   408    
-21.936   -6.855        407    
-21.7989  -6.81215625   406.5  
-21.6618  -6.7693125    405    
-21.5247  -6.72646875   403.5  
-21.3876  -6.683625     400.5  
-21.2505  -6.64078125   396.5  
-21.1134  -6.5979375    392.5  
-20.9763  -6.55509375   387.5  
-20.8392  -6.51225      382    
-20.7021  -6.46940625   376    
-20.565   -6.4265625    370.5  
-20.4279  -6.38371875   364.5  
-20.2908  -6.340875     358    
-20.1537  -6.29803125   352    
-20.0166  -6.2551875    345.5  
-19.8795  -6.21234375   339.5  
-19.7424  -6.1695       334    
-19.6053  -6.12665625   329    
-19.4682  -6.0838125    325.5  
-19.3311  -6.04096875   322    
-19.194   -5.998125     318.5  
-19.0569  -5.95528125   315.5  
-18.9198  -5.9124375    313    
-18.7827  -5.86959375   310.5  
-18.6456  -5.82675      307.5  
-18.5085  -5.78390625   304    
-18.3714  -5.7410625    300.5  
-18.2343  -5.69821875   296.5  
-18.0972  -5.655375     292.5  
-17.9601  -5.61253125   288    
-17.823   -5.5696875    284.5  
-17.6859  -5.52684375   280    
-17.5488  -5.484        276.5  
-17.4117  -5.44115625   272.5  
-17.2746  -5.3983125    269    
-17.1375  -5.35546875   265.5  
-17.0004  -5.312625     262.5  
-16.8633  -5.26978125   259    
-16.7262  -5.2269375    255.5  
-16.5891  -5.18409375   252    
-16.452   -5.14125      249    
-16.3149  -5.09840625   245.5  
-16.1778  -5.0555625    241.5  
-16.0407  -5.01271875   237    
-15.9036  -4.969875     233    
-15.7665  -4.92703125   228    
-15.6294  -4.8841875    223.5  
-15.4923  -4.84134375   219.5  
-15.3552  -4.7985       214.5  
-15.2181  -4.75565625   210.5  
-15.081   -4.7128125    206.5  
-14.9439  -4.66996875   202.5  
-14.8068  -4.627125     199    
-14.6697  -4.58428125   195.5  
-14.5326  -4.5414375    193    
-14.3955  -4.49859375   190    
-14.2584  -4.45575      187.5  
-14.1213  -4.41290625   185    
-13.9842  -4.3700625    182    
-13.8471  -4.32721875   179    
-13.71    -4.284375     176.5  
-13.5729  -4.24153125   174    
-13.4358  -4.1986875    171.5  
-13.2987  -4.15584375   169    
-13.1616  -4.113        165.5  
-13.0245  -4.07015625   163    
-12.8874  -4.0273125    159.5  
-12.7503  -3.98446875   156    
-12.6132  -3.941625     152.5  
-12.4761  -3.89878125   149.5  
-12.339   -3.8559375    145.5  
-12.2019  -3.81309375   141.5  
-12.0648  -3.77025      138.5  
-11.9277  -3.72740625   135.5  
-11.7906  -3.6845625    132    
-11.6535  -3.64171875   129.5  
-11.5164  -3.598875     127    
-11.3793  -3.55603125   124.5  
-11.2422  -3.5131875    122.5  
-11.1051  -3.47034375   120.5  
-10.968   -3.4275       119    
-10.8309  -3.38465625   117.5  
-10.6938  -3.3418125    116.5  
-10.5567  -3.29896875   115    
-10.4196  -3.256125     113    
-10.2825  -3.21328125   112    
-10.1454  -3.1704375    110    
-10.0083  -3.12759375   108.5  
-9.8712   -3.08475      106.5  
-9.7341   -3.04190625   104.5  
-9.597    -2.9990625    103    
-9.4599   -2.95621875   101    
-9.3228   -2.913375     99.5   
-9.1857   -2.87053125   97     
-9.0486   -2.8276875    95.5   
-8.9115   -2.78484375   93.5   
-8.7744   -2.742        91     
-8.6373   -2.69915625   89     
-8.5002   -2.6563125    87     
-8.3631   -2.61346875   85     
-8.226    -2.570625     83     
-8.0889   -2.52778125   81.5   
-7.9518   -2.4849375    80     
-7.8147   -2.44209375   78     
-7.6776   -2.39925      77     
-7.5405   -2.35640625   75.5   
-7.4034   -2.3135625    74.5   
-7.2663   -2.27071875   73.5   
-7.1292   -2.227875     72.5   
-6.9921   -2.18503125   71.5   
-6.855    -2.1421875    71     
-6.7179   -2.09934375   69.5   
-6.5808   -2.0565       68.5   
-6.4437   -2.01365625   68     
-6.3066   -1.9708125    67     
-6.1695   -1.92796875   66     
-6.0324   -1.885125     65     
-5.8953   -1.84228125   64.5   
-5.7582   -1.7994375    63.5   
-5.6211   -1.75659375   62.5   
-5.484    -1.71375      62.5   
-5.3469   -1.67090625   61.5   
-5.2098   -1.6280625    60.5   
-5.0727   -1.58521875   60     
-4.9356   -1.542375     59.5   
-4.7985   -1.49953125   59     
-4.6614   -1.4566875    58.5   
-4.5243   -1.41384375   57.5   
-4.3872   -1.371        57.5   
-4.2501   -1.32815625   56.5   
-4.113    -1.2853125    56     
-3.9759   -1.24246875   56     
-3.8388   -1.199625     55.5   
-3.7017   -1.15678125   55.5   
-3.5646   -1.1139375    55     
-3.4275   -1.07109375   55     
-3.2904   -1.02825      55     
-3.1533   -0.98540625   54.5   
-3.0162   -0.9425625    54     
-2.8791   -0.89971875   53     
-2.742    -0.856875     52.5   
-2.6049   -0.81403125   52.5   
-2.4678   -0.7711875    51.5   
-2.3307   -0.72834375   51.5   
-2.1936   -0.6855       51     
-2.0565   -0.64265625   51     
-1.9194   -0.5998125    50.5   
-1.7823   -0.55696875   50     
-1.6452   -0.514125     50     
-1.5081   -0.47128125   49.5   
-1.371    -0.4284375    49.5   
-1.2339   -0.38559375   48.5   
-1.0968   -0.34275      48.5   
-0.9597   -0.29990625   48     
-0.8226   -0.2570625    48     
-0.6855   -0.21421875   47.5   
-0.5484   -0.171375     47.5   
-0.4113   -0.12853125   47.5   
-0.2742   -0.0856875    47.5   
-0.1371   -0.04284375   47.5   
0         0             47     
0.1371    0.04284375    47.5   
0.2742    0.0856875     47.5   
0.4113    0.12853125    47.5   
0.5484    0.171375      47.5   
0.6855    0.21421875    47.5   
0.8226    0.2570625     48     
0.9597    0.29990625    48     
1.0968    0.34275       48.5   
1.2339    0.38559375    48.5   
1.371     0.4284375     49.5   
1.5081    0.47128125    49.5   
1.6452    0.514125      50     
1.7823    0.55696875    50     
1.9194    0.5998125     50.5   
2.0565    0.64265625    51     
2.1936    0.6855        51     
2.3307    0.72834375    51.5   
2.4678    0.7711875     51.5   
2.6049    0.81403125    52.5   
2.742     0.856875      52.5   
2.8791    0.89971875    53     
3.0162    0.9425625     54     
3.1533    0.98540625    54.5   
3.2904    1.02825       55     
3.4275    1.07109375    55     
3.5646    1.1139375     55     
3.7017    1.15678125    55.5   
3.8388    1.199625      55.5   
3.9759    1.24246875    56     
4.113     1.2853125     56     
4.2501    1.32815625    56.5   
4.3872    1.371         57.5   
4.5243    1.41384375    57.5   
4.6614    1.4566875     58.5   
4.7985    1.49953125    59     
4.9356    1.542375      59.5   
5.0727    1.58521875    60     
5.2098    1.6280625     60.5   
5.3469    1.67090625    61.5   
5.484     1.71375       62.5   
5.6211    1.75659375    62.5   
5.7582    1.7994375     63.5   
5.8953    1.84228125    64.5   
6.0324    1.885125      65     
6.1695    1.92796875    66     
6.3066    1.9708125     67     
6.4437    2.01365625    68     
6.5808    2.0565        68.5   
6.7179    2.09934375    69.5   
6.855     2.1421875     71     
6.9921    2.18503125    71.5   
7.1292    2.227875      72.5   
7.2663    2.27071875    73.5   
7.4034    2.3135625     74.5   
7.5405    2.35640625    75.5   
7.6776    2.39925       77     
7.8147    2.44209375    78     
7.9518    2.4849375     80     
8.0889    2.52778125    81.5   
8.226     2.570625      83     
8.3631    2.61346875    85     
8.5002    2.6563125     87     
8.6373    2.69915625    89     
8.7744    2.742         91     
8.9115    2.78484375    93.5   
9.0486    2.8276875     95.5   
9.1857    2.87053125    97     
9.3228    2.913375      99.5   
9.4599    2.95621875    101    
9.597     2.9990625     103    
9.7341    3.04190625    104.5  
9.8712    3.08475       106.5  
10.0083   3.12759375    108.5  
10.1454   3.1704375     110    
10.2825   3.21328125    112    
10.4196   3.256125      113    
10.5567   3.29896875    115    
10.6938   3.3418125     116.5  
10.8309   3.38465625    117.5  
10.968    3.4275        119    
11.1051   3.47034375    120.5  
11.2422   3.5131875     122.5  
11.3793   3.55603125    124.5  
11.5164   3.598875      127    
11.6535   3.64171875    129.5  
11.7906   3.6845625     132    
11.9277   3.72740625    135.5  
12.0648   3.77025       138.5  
12.2019   3.81309375    141.5  
12.339    3.8559375     145.5  
12.4761   3.89878125    149.5  
12.6132   3.941625      152.5  
12.7503   3.98446875    156    
12.8874   4.0273125     159.5  
13.0245   4.07015625    163    
13.1616   4.113         165.5  
13.2987   4.15584375    169    
13.4358   4.1986875     171.5  
13.5729   4.24153125    174    
13.71     4.284375      176.5  
13.8471   4.32721875    179    
13.9842   4.3700625     182    
14.1213   4.41290625    185    
14.2584   4.45575       187.5  
14.3955   4.49859375    190    
14.5326   4.5414375     193    
14.6697   4.58428125    195.5  
14.8068   4.627125      199    
14.9439   4.66996875    202.5  
15.081    4.7128125     206.5  
15.2181   4.75565625    210.5  
15.3552   4.7985        214.5  
15.4923   4.84134375    219.5  
15.6294   4.8841875     223.5  
15.7665   4.92703125    228    
15.9036   4.969875      233    
16.0407   5.01271875    237    
16.1778   5.0555625     241.5  
16.3149   5.09840625    245.5  
16.452    5.14125       249    
16.5891   5.18409375    252    
16.7262   5.2269375     255.5  
16.8633   5.26978125    259    
17.0004   5.312625      262.5  
17.1375   5.35546875    265.5  
17.2746   5.3983125     269    
17.4117   5.44115625    272.5  
17.5488   5.484         276.5  
17.6859   5.52684375    280    
17.823    5.5696875     284.5  
17.9601   5.61253125    288    
18.0972   5.655375      292.5  
18.2343   5.69821875    296.5  
18.3714   5.7410625     300.5  
18.5085   5.78390625    304    
18.6456   5.82675       307.5  
18.7827   5.86959375    310.5  
18.9198   5.9124375     313    
19.0569   5.95528125    315.5  
19.194    5.998125      318.5  
19.3311   6.04096875    322    
19.4682   6.0838125     325.5  
19.6053   6.12665625    329    
19.7424   6.1695        334    
19.8795   6.21234375    339.5  
20.0166   6.2551875     345.5  
20.1537   6.29803125    352    
20.2908   6.340875      358    
20.4279   6.38371875    364.5  
20.565    6.4265625     370.5  
20.7021   6.46940625    376    
20.8392   6.51225       382    
20.9763   6.55509375    387.5  
21.1134   6.5979375     392.5  
21.2505   6.64078125    396.5  
21.3876   6.683625      400.5  
21.5247   6.72646875    403.5  
21.6618   6.7693125     405    
21.7989   6.81215625    406.5  
21.936    6.855         407    
22.0731   6.89784375    408    
22.2102   6.9406875     408.5  
22.3473   6.98353125    410    
22.4844   7.026375      411    
22.6215   7.06921875    413.5  
22.7586   7.1120625     415.5  
22.8957   7.15490625    419    
23.0328   7.19775       421    
23.1699   7.24059375    424    
23.307    7.2834375     426.5  
23.4441   7.32628125    428    
23.5812   7.369125      430.5  
23.7183   7.41196875    432.5  
23.8554   7.4548125     433    
23.9925   7.49765625    434.5  
24.1296   7.5405        436    
24.2667   7.58334375    438.5  
24.4038   7.6261875     440.5  
24.5409   7.66903125    443.5  
24.678    7.711875      447    
24.8151   7.75471875    452    
24.9522   7.7975625     457    
25.0893   7.84040625    461    
25.2264   7.88325       464.5  
25.3635   7.92609375    468.5  
25.5006   7.9689375     472    
25.6377   8.01178125    474.5  
25.7748   8.054625      476.5  
25.9119   8.09746875    477.5  
26.049    8.1403125     480    
26.1861   8.18315625    481.5  
26.3232   8.226         483.5  
26.4603   8.26884375    485.5  
26.5974   8.3116875     486    
26.7345   8.35453125    487.5  
26.8716   8.397375      489.5  
27.0087   8.44021875    491.5  
27.1458   8.4830625     493    
27.2829   8.52590625    494.5  
27.42     8.56875       496    
27.5571   8.61159375    499    
27.6942   8.6544375     501    
27.8313   8.69728125    502    
27.9684   8.740125      504    
28.1055   8.78296875    505    
28.2426   8.8258125     507.5  
28.3797   8.86865625    509    
28.5168   8.9115        509.5  
28.6539   8.95434375    510    
28.791    8.9971875     510.5  
28.9281   9.04003125    510    
29.0652   9.082875      509.5  
29.2023   9.12571875    509    
29.3394   9.1685625     508    
29.4765   9.21140625    507.5  
29.6136   9.25425       506.5  
29.7507   9.29709375    505.5  
29.8878   9.3399375     504.5  
30.0249   9.38278125    503    
30.162    9.425625      500.5  
30.2991   9.46846875    497    
30.4362   9.5113125     493    
30.5733   9.55415625    488.5  
30.7104   9.597         485    
30.8475   9.63984375    482    
30.9846   9.6826875     478    
31.1217   9.72553125    475    
31.2588   9.768375      473.5  
31.3959   9.81121875    472.5  
31.533    9.8540625     472    
31.6701   9.89690625    470    
31.8072   9.93975       469    
31.9443   9.98259375    468    
32.0814   10.0254375    467.5  
32.2185   10.06828125   465.5  
32.3556   10.111125     463    
32.4927   10.15396875   461    
32.6298   10.1968125    458.5  
32.7669   10.23965625   455.5  
32.904    10.2825       452.5  
33.0411   10.32534375   449    
33.1782   10.3681875    445.5  
33.3153   10.41103125   441.5  
33.4524   10.453875     437    
33.5895   10.49671875   433    
33.7266   10.5395625    429.5  
33.8637   10.58240625   425.5  
34.0008   10.62525      422.5  
34.1379   10.66809375   419.5  
34.275    10.7109375    417    
34.4121   10.75378125   415    
34.5492   10.796625     414    
