# z = 475 mm
# z/D = 148.4375 ~ 148
# r (mm)    r/D         OH (arb units)
-34.5492  -10.796625    338.5  
-34.4121  -10.75378125  339    
-34.275   -10.7109375   341    
-34.1379  -10.66809375  342.5  
-34.0008  -10.62525     344    
-33.8637  -10.58240625  346    
-33.7266  -10.5395625   348    
-33.5895  -10.49671875  349.5  
-33.4524  -10.453875    350.5  
-33.3153  -10.41103125  352.5  
-33.1782  -10.3681875   353.5  
-33.0411  -10.32534375  355    
-32.904   -10.2825      356    
-32.7669  -10.23965625  357    
-32.6298  -10.1968125   357.5  
-32.4927  -10.15396875  358    
-32.3556  -10.111125    358.5  
-32.2185  -10.06828125  359    
-32.0814  -10.0254375   359.5  
-31.9443  -9.98259375   358.5  
-31.8072  -9.93975      359    
-31.6701  -9.89690625   359    
-31.533   -9.8540625    359.5  
-31.3959  -9.81121875   359.5  
-31.2588  -9.768375     360    
-31.1217  -9.72553125   360.5  
-30.9846  -9.6826875    361    
-30.8475  -9.63984375   362.5  
-30.7104  -9.597        363    
-30.5733  -9.55415625   363.5  
-30.4362  -9.5113125    364.5  
-30.2991  -9.46846875   365    
-30.162   -9.425625     365    
-30.0249  -9.38278125   365    
-29.8878  -9.3399375    363    
-29.7507  -9.29709375   361    
-29.6136  -9.25425      359.5  
-29.4765  -9.21140625   358    
-29.3394  -9.1685625    356    
-29.2023  -9.12571875   355    
-29.0652  -9.082875     354.5  
-28.9281  -9.04003125   353.5  
-28.791   -8.9971875    353    
-28.6539  -8.95434375   353    
-28.5168  -8.9115       353.5  
-28.3797  -8.86865625   354    
-28.2426  -8.8258125    354    
-28.1055  -8.78296875   354    
-27.9684  -8.740125     355.5  
-27.8313  -8.69728125   356    
-27.6942  -8.6544375    357    
-27.5571  -8.61159375   356.5  
-27.42    -8.56875      356    
-27.2829  -8.52590625   356    
-27.1458  -8.4830625    356.5  
-27.0087  -8.44021875   356    
-26.8716  -8.397375     355.5  
-26.7345  -8.35453125   355    
-26.5974  -8.3116875    355    
-26.4603  -8.26884375   356    
-26.3232  -8.226        356    
-26.1861  -8.18315625   356.5  
-26.049   -8.1403125    357    
-25.9119  -8.09746875   357.5  
-25.7748  -8.054625     358.5  
-25.6377  -8.01178125   359.5  
-25.5006  -7.9689375    360.5  
-25.3635  -7.92609375   360.5  
-25.2264  -7.88325      359    
-25.0893  -7.84040625   358.5  
-24.9522  -7.7975625    357.5  
-24.8151  -7.75471875   355.5  
-24.678   -7.711875     353.5  
-24.5409  -7.66903125   352    
-24.4038  -7.6261875    351.5  
-24.2667  -7.58334375   351.5  
-24.1296  -7.5405       351    
-23.9925  -7.49765625   351    
-23.8554  -7.4548125    351    
-23.7183  -7.41196875   352    
-23.5812  -7.369125     352    
-23.4441  -7.32628125   351    
-23.307   -7.2834375    350.5  
-23.1699  -7.24059375   349.5  
-23.0328  -7.19775      349    
-22.8957  -7.15490625   347.5  
-22.7586  -7.1120625    346.5  
-22.6215  -7.06921875   345.5  
-22.4844  -7.026375     344    
-22.3473  -6.98353125   343    
-22.2102  -6.9406875    342    
-22.0731  -6.89784375   341.5  
-21.936   -6.855        342    
-21.7989  -6.81215625   342    
-21.6618  -6.7693125    342    
-21.5247  -6.72646875   342.5  
-21.3876  -6.683625     342    
-21.2505  -6.64078125   341    
-21.1134  -6.5979375    341    
-20.9763  -6.55509375   339.5  
-20.8392  -6.51225      338    
-20.7021  -6.46940625   337    
-20.565   -6.4265625    335.5  
-20.4279  -6.38371875   334    
-20.2908  -6.340875     332    
-20.1537  -6.29803125   329.5  
-20.0166  -6.2551875    327.5  
-19.8795  -6.21234375   325.5  
-19.7424  -6.1695       323.5  
-19.6053  -6.12665625   322.5  
-19.4682  -6.0838125    321    
-19.3311  -6.04096875   320.5  
-19.194   -5.998125     320    
-19.0569  -5.95528125   319    
-18.9198  -5.9124375    318.5  
-18.7827  -5.86959375   319    
-18.6456  -5.82675      319.5  
-18.5085  -5.78390625   318.5  
-18.3714  -5.7410625    319    
-18.2343  -5.69821875   318.5  
-18.0972  -5.655375     318.5  
-17.9601  -5.61253125   318.5  
-17.823   -5.5696875    318    
-17.6859  -5.52684375   317    
-17.5488  -5.484        317    
-17.4117  -5.44115625   316    
-17.2746  -5.3983125    315.5  
-17.1375  -5.35546875   315    
-17.0004  -5.312625     314    
-16.8633  -5.26978125   313.5  
-16.7262  -5.2269375    313    
-16.5891  -5.18409375   312.5  
-16.452   -5.14125      311.5  
-16.3149  -5.09840625   310.5  
-16.1778  -5.0555625    309    
-16.0407  -5.01271875   307    
-15.9036  -4.969875     304.5  
-15.7665  -4.92703125   302    
-15.6294  -4.8841875    299    
-15.4923  -4.84134375   296.5  
-15.3552  -4.7985       293    
-15.2181  -4.75565625   289.5  
-15.081   -4.7128125    287    
-14.9439  -4.66996875   284    
-14.8068  -4.627125     282    
-14.6697  -4.58428125   280    
-14.5326  -4.5414375    277.5  
-14.3955  -4.49859375   276.5  
-14.2584  -4.45575      275.5  
