# z = 125 mm
# z/D = 39.0625 ~ 39
# r (mm)    r/D         PAH (arb units)
-34.5492  -10.796625    2.5    
-34.4121  -10.75378125  2      
-34.275   -10.7109375   2      
-34.1379  -10.66809375  2      
-34.0008  -10.62525     2      
-33.8637  -10.58240625  2      
-33.7266  -10.5395625   2.5    
-33.5895  -10.49671875  2.5    
-33.4524  -10.453875    2.5    
-33.3153  -10.41103125  2.5    
-33.1782  -10.3681875   2.5    
-33.0411  -10.32534375  2.5    
-32.904   -10.2825      3.5    
-32.7669  -10.23965625  3      
-32.6298  -10.1968125   3      
-32.4927  -10.15396875  3      
-32.3556  -10.111125    3      
-32.2185  -10.06828125  3      
-32.0814  -10.0254375   3      
-31.9443  -9.98259375   3      
-31.8072  -9.93975      3      
-31.6701  -9.89690625   3.5    
-31.533   -9.8540625    3.5    
-31.3959  -9.81121875   3.5    
-31.2588  -9.768375     3.5    
-31.1217  -9.72553125   3.5    
-30.9846  -9.6826875    3      
-30.8475  -9.63984375   3.5    
-30.7104  -9.597        3.5    
-30.5733  -9.55415625   4      
-30.4362  -9.5113125    4      
-30.2991  -9.46846875   4      
-30.162   -9.425625     4      
-30.0249  -9.38278125   4      
-29.8878  -9.3399375    4      
-29.7507  -9.29709375   4      
-29.6136  -9.25425      4      
-29.4765  -9.21140625   3.5    
-29.3394  -9.1685625    4      
-29.2023  -9.12571875   4      
-29.0652  -9.082875     4      
-28.9281  -9.04003125   4      
-28.791   -8.9971875    4      
-28.6539  -8.95434375   4      
-28.5168  -8.9115       4      
-28.3797  -8.86865625   4      
-28.2426  -8.8258125    4.5    
-28.1055  -8.78296875   4.5    
-27.9684  -8.740125     5      
-27.8313  -8.69728125   5      
-27.6942  -8.6544375    5      
-27.5571  -8.61159375   5      
-27.42    -8.56875      4.5    
-27.2829  -8.52590625   4      
-27.1458  -8.4830625    4      
-27.0087  -8.44021875   4      
-26.8716  -8.397375     4      
-26.7345  -8.35453125   4      
-26.5974  -8.3116875    4.5    
-26.4603  -8.26884375   5      
-26.3232  -8.226        5      
-26.1861  -8.18315625   5      
-26.049   -8.1403125    5      
-25.9119  -8.09746875   5      
-25.7748  -8.054625     5      
-25.6377  -8.01178125   5.5    
-25.5006  -7.9689375    6      
-25.3635  -7.92609375   6      
-25.2264  -7.88325      5.5    
-25.0893  -7.84040625   5.5    
-24.9522  -7.7975625    6      
-24.8151  -7.75471875   6      
-24.678   -7.711875     5.5    
-24.5409  -7.66903125   5.5    
-24.4038  -7.6261875    5.5    
-24.2667  -7.58334375   6      
-24.1296  -7.5405       6      
-23.9925  -7.49765625   6      
-23.8554  -7.4548125    6      
-23.7183  -7.41196875   6      
-23.5812  -7.369125     6      
-23.4441  -7.32628125   6      
-23.307   -7.2834375    6      
-23.1699  -7.24059375   6.5    
-23.0328  -7.19775      6.5    
-22.8957  -7.15490625   7      
-22.7586  -7.1120625    7      
-22.6215  -7.06921875   7.5    
-22.4844  -7.026375     7.5    
-22.3473  -6.98353125   8      
-22.2102  -6.9406875    8      
-22.0731  -6.89784375   8      
-21.936   -6.855        8      
-21.7989  -6.81215625   8      
-21.6618  -6.7693125    8      
-21.5247  -6.72646875   8      
-21.3876  -6.683625     8.5    
-21.2505  -6.64078125   8.5    
-21.1134  -6.5979375    9      
-20.9763  -6.55509375   9      
-20.8392  -6.51225      9.5    
-20.7021  -6.46940625   9.5    
-20.565   -6.4265625    9.5    
-20.4279  -6.38371875   9.5    
-20.2908  -6.340875     10     
-20.1537  -6.29803125   10     
-20.0166  -6.2551875    9.5    
-19.8795  -6.21234375   9.5    
-19.7424  -6.1695       9.5    
-19.6053  -6.12665625   9.5    
-19.4682  -6.0838125    10.5   
-19.3311  -6.04096875   10.5   
-19.194   -5.998125     11     
-19.0569  -5.95528125   11.5   
-18.9198  -5.9124375    11.5   
-18.7827  -5.86959375   11.5   
-18.6456  -5.82675      12.5   
-18.5085  -5.78390625   12.5   
-18.3714  -5.7410625    13     
-18.2343  -5.69821875   13.5   
-18.0972  -5.655375     14     
