# z = 425 mm
# z/D = 132.8125 ~ 133
# r (mm)    r/D         PAH (arb units)
-34.5492  -10.796625    80
-34.4121  -10.75378125  79.5
-34.275   -10.7109375   80
-34.1379  -10.66809375  81
-34.0008  -10.62525     82
-33.8637  -10.58240625  83
-33.7266  -10.5395625   84.5
-33.5895  -10.49671875  86
-33.4524  -10.453875    87.5
-33.3153  -10.41103125  89.5
-33.1782  -10.3681875   91
-33.0411  -10.32534375  92.5
-32.904   -10.2825      94.5
-32.7669  -10.23965625  95.5
-32.6298  -10.1968125   97
-32.4927  -10.15396875  99
-32.3556  -10.111125    100.5
-32.2185  -10.06828125  102
-32.0814  -10.0254375   102.5
-31.9443  -9.98259375   103.5
-31.8072  -9.93975      104
-31.6701  -9.89690625   104.5
-31.533   -9.8540625    104.5
-31.3959  -9.81121875   104.5
-31.2588  -9.768375     104.5
-31.1217  -9.72553125   104
-30.9846  -9.6826875    104
-30.8475  -9.63984375   105
-30.7104  -9.597        106.5
-30.5733  -9.55415625   107
-30.4362  -9.5113125    107.5
-30.2991  -9.46846875   109.5
-30.162   -9.425625     111
-30.0249  -9.38278125   112.5
-29.8878  -9.3399375    113
-29.7507  -9.29709375   113.5
-29.6136  -9.25425      114
-29.4765  -9.21140625   115.5
-29.3394  -9.1685625    116
-29.2023  -9.12571875   117
-29.0652  -9.082875     119
-28.9281  -9.04003125   119.5
-28.791   -8.9971875    121
-28.6539  -8.95434375   122.5
-28.5168  -8.9115       124.5
-28.3797  -8.86865625   125.5
-28.2426  -8.8258125    127
-28.1055  -8.78296875   127.5
-27.9684  -8.740125     129.5
-27.8313  -8.69728125   130.5
-27.6942  -8.6544375    131
-27.5571  -8.61159375   132
-27.42    -8.56875      132.5
-27.2829  -8.52590625   133.5
-27.1458  -8.4830625    134.5
-27.0087  -8.44021875   136.5
-26.8716  -8.397375     138
-26.7345  -8.35453125   139.5
-26.5974  -8.3116875    141
-26.4603  -8.26884375   142.5
-26.3232  -8.226        144
-26.1861  -8.18315625   144.5
-26.049   -8.1403125    145
-25.9119  -8.09746875   145.5
-25.7748  -8.054625     147
-25.6377  -8.01178125   149
-25.5006  -7.9689375    151
-25.3635  -7.92609375   152.5
-25.2264  -7.88325      154.5
-25.0893  -7.84040625   158
-24.9522  -7.7975625    161
-24.8151  -7.75471875   163
-24.678   -7.711875     164
-24.5409  -7.66903125   166
-24.4038  -7.6261875    168
-24.2667  -7.58334375   169.5
-24.1296  -7.5405       171.5
-23.9925  -7.49765625   174
-23.8554  -7.4548125    177
-23.7183  -7.41196875   181
-23.5812  -7.369125     184
-23.4441  -7.32628125   186
-23.307   -7.2834375    188.5
-23.1699  -7.24059375   191.5
-23.0328  -7.19775      193.5
-22.8957  -7.15490625   196
-22.7586  -7.1120625    198
-22.6215  -7.06921875   200.5
-22.4844  -7.026375     204
-22.3473  -6.98353125   206.5
-22.2102  -6.9406875    208.5
-22.0731  -6.89784375   212
-21.936   -6.855        214.5
-21.7989  -6.81215625   218
-21.6618  -6.7693125    221
-21.5247  -6.72646875   224
-21.3876  -6.683625     227
-21.2505  -6.64078125   229
-21.1134  -6.5979375    231
-20.9763  -6.55509375   232.5
-20.8392  -6.51225      233
-20.7021  -6.46940625   234.5
-20.565   -6.4265625    235.5
-20.4279  -6.38371875   236
-20.2908  -6.340875     236.5
-20.1537  -6.29803125   236.5
-20.0166  -6.2551875    237
-19.8795  -6.21234375   237
-19.7424  -6.1695       237.5
-19.6053  -6.12665625   238.5
-19.4682  -6.0838125    239
-19.3311  -6.04096875   239.5
-19.194   -5.998125     241
-19.0569  -5.95528125   242
-18.9198  -5.9124375    242
-18.7827  -5.86959375   242.5
-18.6456  -5.82675      244
-18.5085  -5.78390625   244.5
-18.3714  -5.7410625    246.5
-18.2343  -5.69821875   247
-18.0972  -5.655375     247.5
-17.9601  -5.61253125   250.5
-17.823   -5.5696875    252
-17.6859  -5.52684375   254
-17.5488  -5.484        258
-17.4117  -5.44115625   260.5
-17.2746  -5.3983125    263.5
-17.1375  -5.35546875   266
-17.0004  -5.312625     269.5
-16.8633  -5.26978125   272.5
-16.7262  -5.2269375    274
-16.5891  -5.18409375   274.5
-16.452   -5.14125      276.5
-16.3149  -5.09840625   279
-16.1778  -5.0555625    279.5
-16.0407  -5.01271875   279.5
-15.9036  -4.969875     279.5
