# z = 625 mm
# z/D = 195.3125 ~ 195
# r (mm)    r/D         OH (arb units)
-34.5492  -10.796625    273    
-34.4121  -10.75378125  272    
-34.275   -10.7109375   272    
-34.1379  -10.66809375  272.5  
-34.0008  -10.62525     273    
-33.8637  -10.58240625  273.5  
-33.7266  -10.5395625   275    
-33.5895  -10.49671875  276    
-33.4524  -10.453875    277.5  
-33.3153  -10.41103125  279.5  
-33.1782  -10.3681875   280.5  
-33.0411  -10.32534375  282    
-32.904   -10.2825      283    
-32.7669  -10.23965625  284    
-32.6298  -10.1968125   286    
-32.4927  -10.15396875  287    
-32.3556  -10.111125    288    
-32.2185  -10.06828125  289    
-32.0814  -10.0254375   290.5  
-31.9443  -9.98259375   291    
-31.8072  -9.93975      292    
-31.6701  -9.89690625   293    
-31.533   -9.8540625    293.5  
-31.3959  -9.81121875   293.5  
-31.2588  -9.768375     294.5  
-31.1217  -9.72553125   295    
-30.9846  -9.6826875    297    
-30.8475  -9.63984375   298.5  
-30.7104  -9.597        300.5  
-30.5733  -9.55415625   302.5  
-30.4362  -9.5113125    305.5  
-30.2991  -9.46846875   307.5  
-30.162   -9.425625     309    
-30.0249  -9.38278125   310.5  
-29.8878  -9.3399375    311    
-29.7507  -9.29709375   311.5  
-29.6136  -9.25425      311.5  
-29.4765  -9.21140625   312    
-29.3394  -9.1685625    311.5  
-29.2023  -9.12571875   312.5  
-29.0652  -9.082875     313.5  
-28.9281  -9.04003125   314    
-28.791   -8.9971875    315.5  
-28.6539  -8.95434375   316.5  
-28.5168  -8.9115       318    
-28.3797  -8.86865625   320.5  
-28.2426  -8.8258125    321.5  
-28.1055  -8.78296875   323.5  
-27.9684  -8.740125     326.5  
-27.8313  -8.69728125   328    
-27.6942  -8.6544375    330    
-27.5571  -8.61159375   330.5  
-27.42    -8.56875      331.5  
-27.2829  -8.52590625   331.5  
-27.1458  -8.4830625    333    
-27.0087  -8.44021875   333.5  
-26.8716  -8.397375     334    
-26.7345  -8.35453125   335.5  
-26.5974  -8.3116875    337    
-26.4603  -8.26884375   338.5  
-26.3232  -8.226        340    
-26.1861  -8.18315625   341    
-26.049   -8.1403125    342    
-25.9119  -8.09746875   343    
-25.7748  -8.054625     344.5  
-25.6377  -8.01178125   346    
-25.5006  -7.9689375    347    
-25.3635  -7.92609375   348    
-25.2264  -7.88325      347.5  
-25.0893  -7.84040625   348    
-24.9522  -7.7975625    348.5  
-24.8151  -7.75471875   347.5  
-24.678   -7.711875     346.5  
-24.5409  -7.66903125   346    
-24.4038  -7.6261875    346.5  
-24.2667  -7.58334375   347.5  
-24.1296  -7.5405       347.5  
-23.9925  -7.49765625   348.5  
-23.8554  -7.4548125    350.5  
-23.7183  -7.41196875   352    
-23.5812  -7.369125     353    
-23.4441  -7.32628125   354    
-23.307   -7.2834375    354.5  
-23.1699  -7.24059375   355.5  
-23.0328  -7.19775      355.5  
-22.8957  -7.15490625   356    
-22.7586  -7.1120625    356    
-22.6215  -7.06921875   356.5  
-22.4844  -7.026375     357    
-22.3473  -6.98353125   359    
-22.2102  -6.9406875    360.5  
-22.0731  -6.89784375   361.5  
-21.936   -6.855        363.5  
-21.7989  -6.81215625   365.5  
-21.6618  -6.7693125    367.5  
-21.5247  -6.72646875   369    
-21.3876  -6.683625     370.5  
-21.2505  -6.64078125   370.5  
-21.1134  -6.5979375    371.5  
-20.9763  -6.55509375   371.5  
-20.8392  -6.51225      371    
-20.7021  -6.46940625   370    
-20.565   -6.4265625    369.5  
-20.4279  -6.38371875   369    
-20.2908  -6.340875     367.5  
-20.1537  -6.29803125   367    
-20.0166  -6.2551875    366.5  
-19.8795  -6.21234375   365    
-19.7424  -6.1695       365    
-19.6053  -6.12665625   365.5  
-19.4682  -6.0838125    366    
-19.3311  -6.04096875   366.5  
-19.194   -5.998125     367.5  
-19.0569  -5.95528125   368    
-18.9198  -5.9124375    369.5  
-18.7827  -5.86959375   371    
-18.6456  -5.82675      373    
-18.5085  -5.78390625   375    
-18.3714  -5.7410625    376    
-18.2343  -5.69821875   378    
-18.0972  -5.655375     379.5  
-17.9601  -5.61253125   382    
-17.823   -5.5696875    384    
-17.6859  -5.52684375   386    
-17.5488  -5.484        388.5  
-17.4117  -5.44115625   390.5  
-17.2746  -5.3983125    392.5  
-17.1375  -5.35546875   396    
-17.0004  -5.312625     398.5  
-16.8633  -5.26978125   400.5  
-16.7262  -5.2269375    403    
-16.5891  -5.18409375   405    
-16.452   -5.14125      407    
-16.3149  -5.09840625   408.5  
-16.1778  -5.0555625    409.5  
-16.0407  -5.01271875   409.5  
-15.9036  -4.969875     410    
-15.7665  -4.92703125   410.5  
-15.6294  -4.8841875    411    
-15.4923  -4.84134375   411.5  
-15.3552  -4.7985       411    
-15.2181  -4.75565625   411    
-15.081   -4.7128125    411    
-14.9439  -4.66996875   411.5  
-14.8068  -4.627125     412    
-14.6697  -4.58428125   412.5  
-14.5326  -4.5414375    413    
-14.3955  -4.49859375   414    
-14.2584  -4.45575      415.5  
-14.1213  -4.41290625   417    
-13.9842  -4.3700625    418.5  
-13.8471  -4.32721875   420    
-13.71    -4.284375     421.5  
-13.5729  -4.24153125   423    
-13.4358  -4.1986875    424.5  
-13.2987  -4.15584375   426    
-13.1616  -4.113        426.5  
-13.0245  -4.07015625   427.5  
-12.8874  -4.0273125    427    
-12.7503  -3.98446875   427    
-12.6132  -3.941625     426    
-12.4761  -3.89878125   427    
-12.339   -3.8559375    427    
-12.2019  -3.81309375   426.5  
-12.0648  -3.77025      425.5  
-11.9277  -3.72740625   426    
-11.7906  -3.6845625    426    
-11.6535  -3.64171875   425.5  
-11.5164  -3.598875     425.5  
-11.3793  -3.55603125   425.5  
-11.2422  -3.5131875    426    
-11.1051  -3.47034375   426    
-10.968   -3.4275       426.5  
-10.8309  -3.38465625   426.5  
-10.6938  -3.3418125    427    
-10.5567  -3.29896875   426.5  
-10.4196  -3.256125     426.5  
-10.2825  -3.21328125   427    
-10.1454  -3.1704375    426.5  
-10.0083  -3.12759375   426    
-9.8712   -3.08475      425    
-9.7341   -3.04190625   424.5  
-9.597    -2.9990625    424    
-9.4599   -2.95621875   423.5  
-9.3228   -2.913375     423    
-9.1857   -2.87053125   423    
-9.0486   -2.8276875    423    
-8.9115   -2.78484375   423.5  
-8.7744   -2.742        424    
-8.6373   -2.69915625   424.5  
-8.5002   -2.6563125    424.5  
-8.3631   -2.61346875   425    
-8.226    -2.570625     426    
-8.0889   -2.52778125   427    
-7.9518   -2.4849375    428.5  
-7.8147   -2.44209375   429.5  
-7.6776   -2.39925      431    
-7.5405   -2.35640625   433.5  
-7.4034   -2.3135625    435    
-7.2663   -2.27071875   435.5  
-7.1292   -2.227875     438    
-6.9921   -2.18503125   439    
-6.855    -2.1421875    440.5  
-6.7179   -2.09934375   440    
-6.5808   -2.0565       439.5  
-6.4437   -2.01365625   439    
-6.3066   -1.9708125    438    
-6.1695   -1.92796875   436.5  
-6.0324   -1.885125     435    
-5.8953   -1.84228125   432.5  
-5.7582   -1.7994375    431    
-5.6211   -1.75659375   430    
-5.484    -1.71375      428.5  
-5.3469   -1.67090625   427.5  
-5.2098   -1.6280625    426    
-5.0727   -1.58521875   425.5  
-4.9356   -1.542375     425    
-4.7985   -1.49953125   425    
-4.6614   -1.4566875    424    
-4.5243   -1.41384375   423    
-4.3872   -1.371        423    
-4.2501   -1.32815625   423.5  
-4.113    -1.2853125    425    
-3.9759   -1.24246875   426.5  
-3.8388   -1.199625     427    
-3.7017   -1.15678125   428    
-3.5646   -1.1139375    429.5  
-3.4275   -1.07109375   431    
-3.2904   -1.02825      431.5  
-3.1533   -0.98540625   431    
-3.0162   -0.9425625    429.5  
-2.8791   -0.89971875   429    
-2.742    -0.856875     427.5  
-2.6049   -0.81403125   426.5  
-2.4678   -0.7711875    425    
-2.3307   -0.72834375   424.5  
-2.1936   -0.6855       423.5  
-2.0565   -0.64265625   423    
-1.9194   -0.5998125    423.5  
-1.7823   -0.55696875   424    
-1.6452   -0.514125     424    
-1.5081   -0.47128125   424    
-1.371    -0.4284375    424    
-1.2339   -0.38559375   424    
-1.0968   -0.34275      423.5  
-0.9597   -0.29990625   422.5  
-0.8226   -0.2570625    422    
-0.6855   -0.21421875   421.5  
-0.5484   -0.171375     422    
-0.4113   -0.12853125   422    
-0.2742   -0.0856875    422.5  
