# z = 175 mm
# z/D = 54.6875 ~ 55
# r (mm)    r/D         PAH (arb units)
-34.5492  -10.796625    6      
-34.4121  -10.75378125  6      
-34.275   -10.7109375   6      
-34.1379  -10.66809375  6      
-34.0008  -10.62525     6.5    
-33.8637  -10.58240625  6.5    
-33.7266  -10.5395625   6.5    
-33.5895  -10.49671875  7      
-33.4524  -10.453875    7      
-33.3153  -10.41103125  7      
-33.1782  -10.3681875   7.5    
-33.0411  -10.32534375  7.5    
-32.904   -10.2825      7.5    
-32.7669  -10.23965625  7.5    
-32.6298  -10.1968125   7.5    
-32.4927  -10.15396875  7.5    
-32.3556  -10.111125    7.5    
-32.2185  -10.06828125  8      
-32.0814  -10.0254375   8      
-31.9443  -9.98259375   8      
-31.8072  -9.93975      8      
-31.6701  -9.89690625   8      
-31.533   -9.8540625    8      
-31.3959  -9.81121875   8      
-31.2588  -9.768375     8.5    
-31.1217  -9.72553125   8.5    
-30.9846  -9.6826875    8.5    
-30.8475  -9.63984375   9      
-30.7104  -9.597        9.5    
-30.5733  -9.55415625   9.5    
-30.4362  -9.5113125    10     
-30.2991  -9.46846875   9.5    
-30.162   -9.425625     9.5    
-30.0249  -9.38278125   9.5    
-29.8878  -9.3399375    9.5    
-29.7507  -9.29709375   9.5    
-29.6136  -9.25425      9.5    
-29.4765  -9.21140625   9.5    
-29.3394  -9.1685625    10.5   
-29.2023  -9.12571875   10.5   
-29.0652  -9.082875     10.5   
-28.9281  -9.04003125   10.5   
-28.791   -8.9971875    10.5   
-28.6539  -8.95434375   11     
-28.5168  -8.9115       11.5   
-28.3797  -8.86865625   11.5   
-28.2426  -8.8258125    11.5   
-28.1055  -8.78296875   12.5   
-27.9684  -8.740125     12.5   
-27.8313  -8.69728125   13.5   
-27.6942  -8.6544375    14     
-27.5571  -8.61159375   13.5   
-27.42    -8.56875      14     
-27.2829  -8.52590625   14.5   
-27.1458  -8.4830625    15     
-27.0087  -8.44021875   15     
-26.8716  -8.397375     15.5   
-26.7345  -8.35453125   16     
-26.5974  -8.3116875    16.5   
-26.4603  -8.26884375   17     
-26.3232  -8.226        17.5   
-26.1861  -8.18315625   18     
-26.049   -8.1403125    19     
-25.9119  -8.09746875   18.5   
-25.7748  -8.054625     19     
-25.6377  -8.01178125   19.5   
-25.5006  -7.9689375    20.5   
-25.3635  -7.92609375   20.5   
-25.2264  -7.88325      21     
-25.0893  -7.84040625   21.5   
-24.9522  -7.7975625    22     
-24.8151  -7.75471875   23     
-24.678   -7.711875     23.5   
-24.5409  -7.66903125   24     
-24.4038  -7.6261875    24.5   
-24.2667  -7.58334375   25.5   
-24.1296  -7.5405       26     
-23.9925  -7.49765625   26.5   
-23.8554  -7.4548125    27     
-23.7183  -7.41196875   28     
-23.5812  -7.369125     29     
-23.4441  -7.32628125   29.5   
-23.307   -7.2834375    29.5   
-23.1699  -7.24059375   30.5   
-23.0328  -7.19775      31.5   
-22.8957  -7.15490625   32     
-22.7586  -7.1120625    33     
-22.6215  -7.06921875   34     
-22.4844  -7.026375     35     
-22.3473  -6.98353125   36.5   
-22.2102  -6.9406875    37.5   
-22.0731  -6.89784375   39     
-21.936   -6.855        41.5   
-21.7989  -6.81215625   43     
-21.6618  -6.7693125    45     
-21.5247  -6.72646875   47     
-21.3876  -6.683625     49.5   
-21.2505  -6.64078125   51.5   
-21.1134  -6.5979375    54     
-20.9763  -6.55509375   56     
-20.8392  -6.51225      58.5   
-20.7021  -6.46940625   60.5   
-20.565   -6.4265625    63     
-20.4279  -6.38371875   64.5   
-20.2908  -6.340875     66.5   
-20.1537  -6.29803125   68.5   
