# z = 325 mm
# z/D = 101.5625 ~ 102
# r (mm)    r/D         PAH (arb units)
-12.339   -3.8559375    637    
-12.2019  -3.81309375   640    
-12.0648  -3.77025      644    
-11.9277  -3.72740625   647.5  
-11.7906  -3.6845625    652    
-11.6535  -3.64171875   656    
-11.5164  -3.598875     659.5  
-11.3793  -3.55603125   662.5  
-11.2422  -3.5131875    667.5  
-11.1051  -3.47034375   672.5  
-10.968   -3.4275       678.5  
-10.8309  -3.38465625   684    
-10.6938  -3.3418125    689    
-10.5567  -3.29896875   692    
-10.4196  -3.256125     696    
-10.2825  -3.21328125   698.5  
-10.1454  -3.1704375    701    
-10.0083  -3.12759375   700.5  
-9.8712   -3.08475      701    
-9.7341   -3.04190625   702    
-9.597    -2.9990625    705    
-9.4599   -2.95621875   707.5  
-9.3228   -2.913375     709.5  
-9.1857   -2.87053125   712.5  
-9.0486   -2.8276875    717    
-8.9115   -2.78484375   721.5  
-8.7744   -2.742        725.5  
-8.6373   -2.69915625   730    
-8.5002   -2.6563125    733    
-8.3631   -2.61346875   736    
-8.226    -2.570625     742.5  
-8.0889   -2.52778125   747.5  
-7.9518   -2.4849375    753.5  
-7.8147   -2.44209375   760.5  
-7.6776   -2.39925      767    
-7.5405   -2.35640625   775.5  
-7.4034   -2.3135625    783    
-7.2663   -2.27071875   788.5  
-7.1292   -2.227875     795    
-6.9921   -2.18503125   801.5  
-6.855    -2.1421875    806.5  
-6.7179   -2.09934375   807.5  
-6.5808   -2.0565       809    
-6.4437   -2.01365625   812.5  
-6.3066   -1.9708125    815    
-6.1695   -1.92796875   816.5  
-6.0324   -1.885125     816    
-5.8953   -1.84228125   814.5  
-5.7582   -1.7994375    816    
-5.6211   -1.75659375   815    
-5.484    -1.71375      812.5  
-5.3469   -1.67090625   810    
-5.2098   -1.6280625    808.5  
-5.0727   -1.58521875   806.5  
-4.9356   -1.542375     807    
-4.7985   -1.49953125   806.5  
-4.6614   -1.4566875    806    
-4.5243   -1.41384375   804.5  
-4.3872   -1.371        803    
-4.2501   -1.32815625   802.5  
-4.113    -1.2853125    804    
-3.9759   -1.24246875   805    
-3.8388   -1.199625     805    
-3.7017   -1.15678125   806.5  
-3.5646   -1.1139375    809    
-3.4275   -1.07109375   812.5  
-3.2904   -1.02825      815.5  
-3.1533   -0.98540625   816    
-3.0162   -0.9425625    816    
-2.8791   -0.89971875   817    
-2.742    -0.856875     817    
-2.6049   -0.81403125   816.5  
-2.4678   -0.7711875    815.5  
-2.3307   -0.72834375   816.5  
-2.1936   -0.6855       818.5  
-2.0565   -0.64265625   820    
-1.9194   -0.5998125    820.5  
-1.7823   -0.55696875   823    
-1.6452   -0.514125     826.5  
-1.5081   -0.47128125   829    
-1.371    -0.4284375    831    
-1.2339   -0.38559375   831.5  
-1.0968   -0.34275      832.5  
-0.9597   -0.29990625   834    
-0.8226   -0.2570625    834.5  
-0.6855   -0.21421875   833.5  
-0.5484   -0.171375     836.5  
-0.4113   -0.12853125   838    
-0.2742   -0.0856875    840    
-0.1371   -0.04284375   839    
0         0             839    
0.1371    0.04284375    839    
0.2742    0.0856875     840    
0.4113    0.12853125    838    
0.5484    0.171375      836.5  
0.6855    0.21421875    833.5  
0.8226    0.2570625     834.5  
0.9597    0.29990625    834    
1.0968    0.34275       832.5  
1.2339    0.38559375    831.5  
1.371     0.4284375     831    
1.5081    0.47128125    829    
1.6452    0.514125      826.5  
1.7823    0.55696875    823    
1.9194    0.5998125     820.5  
2.0565    0.64265625    820    
2.1936    0.6855        818.5  
2.3307    0.72834375    816.5  
2.4678    0.7711875     815.5  
2.6049    0.81403125    816.5  
2.742     0.856875      817    
2.8791    0.89971875    817    
3.0162    0.9425625     816    
3.1533    0.98540625    816    
3.2904    1.02825       815.5  
3.4275    1.07109375    812.5  
3.5646    1.1139375     809    
3.7017    1.15678125    806.5  
3.8388    1.199625      805    
3.9759    1.24246875    805    
4.113     1.2853125     804    
4.2501    1.32815625    802.5  
4.3872    1.371         803    
4.5243    1.41384375    804.5  
4.6614    1.4566875     806    
4.7985    1.49953125    806.5  
4.9356    1.542375      807    
5.0727    1.58521875    806.5  
5.2098    1.6280625     808.5  
5.3469    1.67090625    810    
5.484     1.71375       812.5  
5.6211    1.75659375    815    
5.7582    1.7994375     816    
5.8953    1.84228125    814.5  
6.0324    1.885125      816    
6.1695    1.92796875    816.5  
6.3066    1.9708125     815    
6.4437    2.01365625    812.5  
6.5808    2.0565        809    
6.7179    2.09934375    807.5  
6.855     2.1421875     806.5  
6.9921    2.18503125    801.5  
7.1292    2.227875      795    
7.2663    2.27071875    788.5  
7.4034    2.3135625     783    
7.5405    2.35640625    775.5  
7.6776    2.39925       767    
7.8147    2.44209375    760.5  
7.9518    2.4849375     753.5  
8.0889    2.52778125    747.5  
8.226     2.570625      742.5  
8.3631    2.61346875    736    
8.5002    2.6563125     733    
8.6373    2.69915625    730    
8.7744    2.742         725.5  
8.9115    2.78484375    721.5  
9.0486    2.8276875     717    
9.1857    2.87053125    712.5  
9.3228    2.913375      709.5  
9.4599    2.95621875    707.5  
9.597     2.9990625     705    
9.7341    3.04190625    702    
9.8712    3.08475       701    
10.0083   3.12759375    700.5  
10.1454   3.1704375     701    
10.2825   3.21328125    698.5  
10.4196   3.256125      696    
10.5567   3.29896875    692    
10.6938   3.3418125     689    
10.8309   3.38465625    684    
10.968    3.4275        678.5  
11.1051   3.47034375    672.5  
11.2422   3.5131875     667.5  
11.3793   3.55603125    662.5  
11.5164   3.598875      659.5  
11.6535   3.64171875    656    
11.7906   3.6845625     652    
11.9277   3.72740625    647.5  
12.0648   3.77025       644    
12.2019   3.81309375    640    
12.339    3.8559375     637    
12.4761   3.89878125    633    
12.6132   3.941625      630    
12.7503   3.98446875    628    
12.8874   4.0273125     624.5  
13.0245   4.07015625    621.5  
13.1616   4.113         618    
13.2987   4.15584375    614.5  
13.4358   4.1986875     609.5  
13.5729   4.24153125    603    
13.71     4.284375      598.5  
13.8471   4.32721875    594.5  
13.9842   4.3700625     591    
14.1213   4.41290625    588    
14.2584   4.45575       582.5  
14.3955   4.49859375    578.5  
14.5326   4.5414375     577    
14.6697   4.58428125    575.5  
14.8068   4.627125      572.5  
14.9439   4.66996875    568.5  
15.081    4.7128125     567    
15.2181   4.75565625    565.5  
15.3552   4.7985        562    
15.4923   4.84134375    559    
15.6294   4.8841875     554.5  
15.7665   4.92703125    550.5  
15.9036   4.969875      548.5  
16.0407   5.01271875    545    
16.1778   5.0555625     542    
16.3149   5.09840625    539    
16.452    5.14125       534.5  
16.5891   5.18409375    529.5  
16.7262   5.2269375     523.5  
16.8633   5.26978125    516.5  
17.0004   5.312625      509    
17.1375   5.35546875    501.5  
17.2746   5.3983125     493    
17.4117   5.44115625    485.5  
17.5488   5.484         479    
17.6859   5.52684375    472.5  
17.823    5.5696875     468    
17.9601   5.61253125    463    
18.0972   5.655375      457.5  
18.2343   5.69821875    453.5  
18.3714   5.7410625     449    
18.5085   5.78390625    444.5  
18.6456   5.82675       440.5  
18.7827   5.86959375    435.5  
18.9198   5.9124375     432.5  
19.0569   5.95528125    430    
19.194    5.998125      427.5  
19.3311   6.04096875    424    
19.4682   6.0838125     419.5  
19.6053   6.12665625    414.5  
19.7424   6.1695        409.5  
19.8795   6.21234375    403    
20.0166   6.2551875     397.5  
20.1537   6.29803125    391    
20.2908   6.340875      385.5  
20.4279   6.38371875    380.5  
20.565    6.4265625     375.5  
20.7021   6.46940625    370    
20.8392   6.51225       365    
20.9763   6.55509375    360    
21.1134   6.5979375     355    
21.2505   6.64078125    349.5  
21.3876   6.683625      344    
21.5247   6.72646875    338.5  
21.6618   6.7693125     332.5  
21.7989   6.81215625    326    
21.936    6.855         320.5  
22.0731   6.89784375    314.5  
22.2102   6.9406875     308.5  
22.3473   6.98353125    303    
22.4844   7.026375      297    
22.6215   7.06921875    292.5  
22.7586   7.1120625     288    
22.8957   7.15490625    283.5  
23.0328   7.19775       279    
23.1699   7.24059375    276    
23.307    7.2834375     272    
23.4441   7.32628125    267.5  
23.5812   7.369125      263.5  
23.7183   7.41196875    259    
23.8554   7.4548125     253.5  
23.9925   7.49765625    248    
24.1296   7.5405        242.5  
24.2667   7.58334375    237.5  
24.4038   7.6261875     233.5  
24.5409   7.66903125    229.5  
24.678    7.711875      227    
24.8151   7.75471875    224.5  
24.9522   7.7975625     222    
25.0893   7.84040625    219    
25.2264   7.88325       218    
25.3635   7.92609375    217    
25.5006   7.9689375     215    
25.6377   8.01178125    213    
25.7748   8.054625      211    
25.9119   8.09746875    210    
26.049    8.1403125     209    
26.1861   8.18315625    207.5  
26.3232   8.226         205.5  
26.4603   8.26884375    203.5  
26.5974   8.3116875     201    
26.7345   8.35453125    200    
26.8716   8.397375      198    
27.0087   8.44021875    196    
27.1458   8.4830625     194.5  
27.2829   8.52590625    193    
27.42     8.56875       191.5  
27.5571   8.61159375    190.5  
27.6942   8.6544375     188    
27.8313   8.69728125    186.5  
27.9684   8.740125      185    
28.1055   8.78296875    181.5  
28.2426   8.8258125     179    
28.3797   8.86865625    176.5  
28.5168   8.9115        174    
28.6539   8.95434375    171.5  
28.791    8.9971875     170    
28.9281   9.04003125    169    
29.0652   9.082875      167    
29.2023   9.12571875    165.5  
29.3394   9.1685625     164    
29.4765   9.21140625    163    
29.6136   9.25425       163    
29.7507   9.29709375    161    
29.8878   9.3399375     158    
30.0249   9.38278125    156.5  
30.162    9.425625      154    
30.2991   9.46846875    152    
30.4362   9.5113125     149    
30.5733   9.55415625    146    
30.7104   9.597         143    
30.8475   9.63984375    140.5  
30.9846   9.6826875     138    
31.1217   9.72553125    135.5  
31.2588   9.768375      132.5  
31.3959   9.81121875    131    
31.533    9.8540625     129    
31.6701   9.89690625    127.5  
31.8072   9.93975       125    
31.9443   9.98259375    123.5  
32.0814   10.0254375    122    
32.2185   10.06828125   119    
32.3556   10.111125     116.5  
32.4927   10.15396875   114    
32.6298   10.1968125    111.5  
32.7669   10.23965625   110    
32.904    10.2825       107.5  
33.0411   10.32534375   105.5  
33.1782   10.3681875    104    
33.3153   10.41103125   102.5  
33.4524   10.453875     100.5  
33.5895   10.49671875   99     
33.7266   10.5395625    97     
33.8637   10.58240625   95.5   
34.0008   10.62525      93.5   
34.1379   10.66809375   91.5   
34.275    10.7109375    89     
34.4121   10.75378125   86.5   
34.5492   10.796625     85.5   
