# z = 325 mm
# z/D = 101.5625 ~ 102
# r (mm)    r/D         PAH (arb units)
-34.5492  -10.796625    85.5   
-34.4121  -10.75378125  86.5   
-34.275   -10.7109375   89     
-34.1379  -10.66809375  91.5   
-34.0008  -10.62525     93.5   
-33.8637  -10.58240625  95.5   
-33.7266  -10.5395625   97     
-33.5895  -10.49671875  99     
-33.4524  -10.453875    100.5  
-33.3153  -10.41103125  102.5  
-33.1782  -10.3681875   104    
-33.0411  -10.32534375  105.5  
-32.904   -10.2825      107.5  
-32.7669  -10.23965625  110    
-32.6298  -10.1968125   111.5  
-32.4927  -10.15396875  114    
-32.3556  -10.111125    116.5  
-32.2185  -10.06828125  119    
-32.0814  -10.0254375   122    
-31.9443  -9.98259375   123.5  
-31.8072  -9.93975      125    
-31.6701  -9.89690625   127.5  
-31.533   -9.8540625    129    
-31.3959  -9.81121875   131    
-31.2588  -9.768375     132.5  
-31.1217  -9.72553125   135.5  
-30.9846  -9.6826875    138    
-30.8475  -9.63984375   140.5  
-30.7104  -9.597        143    
-30.5733  -9.55415625   146    
-30.4362  -9.5113125    149    
-30.2991  -9.46846875   152    
-30.162   -9.425625     154    
-30.0249  -9.38278125   156.5  
-29.8878  -9.3399375    158    
-29.7507  -9.29709375   161    
-29.6136  -9.25425      163    
-29.4765  -9.21140625   163    
-29.3394  -9.1685625    164    
-29.2023  -9.12571875   165.5  
-29.0652  -9.082875     167    
-28.9281  -9.04003125   169    
-28.791   -8.9971875    170    
-28.6539  -8.95434375   171.5  
-28.5168  -8.9115       174    
-28.3797  -8.86865625   176.5  
-28.2426  -8.8258125    179    
-28.1055  -8.78296875   181.5  
-27.9684  -8.740125     185    
-27.8313  -8.69728125   186.5  
-27.6942  -8.6544375    188    
-27.5571  -8.61159375   190.5  
-27.42    -8.56875      191.5  
-27.2829  -8.52590625   193    
-27.1458  -8.4830625    194.5  
-27.0087  -8.44021875   196    
-26.8716  -8.397375     198    
-26.7345  -8.35453125   200    
-26.5974  -8.3116875    201    
-26.4603  -8.26884375   203.5  
-26.3232  -8.226        205.5  
-26.1861  -8.18315625   207.5  
-26.049   -8.1403125    209    
-25.9119  -8.09746875   210    
-25.7748  -8.054625     211    
-25.6377  -8.01178125   213    
-25.5006  -7.9689375    215    
-25.3635  -7.92609375   217    
-25.2264  -7.88325      218    
-25.0893  -7.84040625   219    
-24.9522  -7.7975625    222    
-24.8151  -7.75471875   224.5  
-24.678   -7.711875     227    
-24.5409  -7.66903125   229.5  
-24.4038  -7.6261875    233.5  
-24.2667  -7.58334375   237.5  
-24.1296  -7.5405       242.5  
-23.9925  -7.49765625   248    
-23.8554  -7.4548125    253.5  
-23.7183  -7.41196875   259    
-23.5812  -7.369125     263.5  
-23.4441  -7.32628125   267.5  
-23.307   -7.2834375    272    
-23.1699  -7.24059375   276    
-23.0328  -7.19775      279    
-22.8957  -7.15490625   283.5  
-22.7586  -7.1120625    288    
-22.6215  -7.06921875   292.5  
-22.4844  -7.026375     297    
-22.3473  -6.98353125   303    
-22.2102  -6.9406875    308.5  
-22.0731  -6.89784375   314.5  
-21.936   -6.855        320.5  
-21.7989  -6.81215625   326    
-21.6618  -6.7693125    332.5  
-21.5247  -6.72646875   338.5  
-21.3876  -6.683625     344    
-21.2505  -6.64078125   349.5  
-21.1134  -6.5979375    355    
-20.9763  -6.55509375   360    
-20.8392  -6.51225      365    
-20.7021  -6.46940625   370    
-20.565   -6.4265625    375.5  
-20.4279  -6.38371875   380.5  
-20.2908  -6.340875     385.5  
-20.1537  -6.29803125   391    
-20.0166  -6.2551875    397.5  
-19.8795  -6.21234375   403    
-19.7424  -6.1695       409.5  
-19.6053  -6.12665625   414.5  
-19.4682  -6.0838125    419.5  
-19.3311  -6.04096875   424    
-19.194   -5.998125     427.5  
-19.0569  -5.95528125   430    
-18.9198  -5.9124375    432.5  
-18.7827  -5.86959375   435.5  
-18.6456  -5.82675      440.5  
-18.5085  -5.78390625   444.5  
-18.3714  -5.7410625    449    
-18.2343  -5.69821875   453.5  
-18.0972  -5.655375     457.5  
-17.9601  -5.61253125   463    
-17.823   -5.5696875    468    
-17.6859  -5.52684375   472.5  
-17.5488  -5.484        479    
-17.4117  -5.44115625   485.5  
-17.2746  -5.3983125    493    
-17.1375  -5.35546875   501.5  
-17.0004  -5.312625     509    
-16.8633  -5.26978125   516.5  
-16.7262  -5.2269375    523.5  
-16.5891  -5.18409375   529.5  
-16.452   -5.14125      534.5  
-16.3149  -5.09840625   539    
-16.1778  -5.0555625    542    
-16.0407  -5.01271875   545    
-15.9036  -4.969875     548.5  
-15.7665  -4.92703125   550.5  
-15.6294  -4.8841875    554.5  
-15.4923  -4.84134375   559    
-15.3552  -4.7985       562    
-15.2181  -4.75565625   565.5  
-15.081   -4.7128125    567    
-14.9439  -4.66996875   568.5  
-14.8068  -4.627125     572.5  
-14.6697  -4.58428125   575.5  
-14.5326  -4.5414375    577    
-14.3955  -4.49859375   578.5  
-14.2584  -4.45575      582.5  
-14.1213  -4.41290625   588    
-13.9842  -4.3700625    591    
-13.8471  -4.32721875   594.5  
-13.71    -4.284375     598.5  
-13.5729  -4.24153125   603    
-13.4358  -4.1986875    609.5  
-13.2987  -4.15584375   614.5  
-13.1616  -4.113        618    
-13.0245  -4.07015625   621.5  
-12.8874  -4.0273125    624.5  
-12.7503  -3.98446875   628    
-12.6132  -3.941625     630    
-12.4761  -3.89878125   633    
