# z = 775 mm
# z/D = 242.1875 ~ 242
# r (mm)    r/D         OH (arb units)
-34.5492  -10.796625    66.5   
-34.4121  -10.75378125  66     
-34.275   -10.7109375   66     
-34.1379  -10.66809375  66     
-34.0008  -10.62525     66.5   
-33.8637  -10.58240625  67     
-33.7266  -10.5395625   67     
-33.5895  -10.49671875  68     
-33.4524  -10.453875    68.5   
-33.3153  -10.41103125  69     
-33.1782  -10.3681875   70     
-33.0411  -10.32534375  70.5   
-32.904   -10.2825      71     
-32.7669  -10.23965625  72     
-32.6298  -10.1968125   72     
-32.4927  -10.15396875  73     
-32.3556  -10.111125    73.5   
-32.2185  -10.06828125  74.5   
-32.0814  -10.0254375   74.5   
-31.9443  -9.98259375   75     
-31.8072  -9.93975      75.5   
-31.6701  -9.89690625   75.5   
-31.533   -9.8540625    76.5   
-31.3959  -9.81121875   76.5   
-31.2588  -9.768375     77.5   
-31.1217  -9.72553125   77.5   
-30.9846  -9.6826875    78.5   
-30.8475  -9.63984375   79.5   
-30.7104  -9.597        80     
-30.5733  -9.55415625   80.5   
-30.4362  -9.5113125    81.5   
-30.2991  -9.46846875   82     
-30.162   -9.425625     83     
-30.0249  -9.38278125   83     
-29.8878  -9.3399375    83     
-29.7507  -9.29709375   83.5   
-29.6136  -9.25425      83.5   
-29.4765  -9.21140625   84.5   
-29.3394  -9.1685625    84.5   
-29.2023  -9.12571875   85     
-29.0652  -9.082875     86     
-28.9281  -9.04003125   86     
-28.791   -8.9971875    86.5   
-28.6539  -8.95434375   86.5   
-28.5168  -8.9115       87.5   
-28.3797  -8.86865625   88     
-28.2426  -8.8258125    89     
-28.1055  -8.78296875   89.5   
-27.9684  -8.740125     90.5   
-27.8313  -8.69728125   91     
-27.6942  -8.6544375    91.5   
-27.5571  -8.61159375   91.5   
-27.42    -8.56875      91.5   
-27.2829  -8.52590625   92     
-27.1458  -8.4830625    92.5   
-27.0087  -8.44021875   93     
-26.8716  -8.397375     93.5   
-26.7345  -8.35453125   94     
-26.5974  -8.3116875    94.5   
-26.4603  -8.26884375   95.5   
-26.3232  -8.226        96     
-26.1861  -8.18315625   96.5   
-26.049   -8.1403125    97     
-25.9119  -8.09746875   97.5   
-25.7748  -8.054625     99     
-25.6377  -8.01178125   99     
-25.5006  -7.9689375    100    
-25.3635  -7.92609375   100.5  
-25.2264  -7.88325      101    
-25.0893  -7.84040625   101.5  
-24.9522  -7.7975625    102    
-24.8151  -7.75471875   102    
-24.678   -7.711875     102    
-24.5409  -7.66903125   102.5  
-24.4038  -7.6261875    103.5  
-24.2667  -7.58334375   103.5  
-24.1296  -7.5405       104    
-23.9925  -7.49765625   105    
-23.8554  -7.4548125    105.5  
-23.7183  -7.41196875   106.5  
-23.5812  -7.369125     107.5  
-23.4441  -7.32628125   107.5  
-23.307   -7.2834375    108    
-23.1699  -7.24059375   108.5  
-23.0328  -7.19775      109    
-22.8957  -7.15490625   109.5  
-22.7586  -7.1120625    109.5  
-22.6215  -7.06921875   110.5  
-22.4844  -7.026375     111    
-22.3473  -6.98353125   111.5  
-22.2102  -6.9406875    112.5  
-22.0731  -6.89784375   113    
-21.936   -6.855        114    
-21.7989  -6.81215625   114.5  
-21.6618  -6.7693125    115.5  
-21.5247  -6.72646875   116.5  
-21.3876  -6.683625     116.5  
-21.2505  -6.64078125   117    
-21.1134  -6.5979375    117.5  
-20.9763  -6.55509375   118    
-20.8392  -6.51225      118.5  
-20.7021  -6.46940625   118    
-20.565   -6.4265625    118.5  
-20.4279  -6.38371875   118    
-20.2908  -6.340875     118    
-20.1537  -6.29803125   117    
-20.0166  -6.2551875    116.5  
-19.8795  -6.21234375   116    
-19.7424  -6.1695       115.5  
-19.6053  -6.12665625   115    
-19.4682  -6.0838125    115    
-19.3311  -6.04096875   114.5  
-19.194   -5.998125     114.5  
-19.0569  -5.95528125   115    
-18.9198  -5.9124375    115.5  
-18.7827  -5.86959375   115.5  
-18.6456  -5.82675      116    
-18.5085  -5.78390625   116    
-18.3714  -5.7410625    117    
-18.2343  -5.69821875   117    
-18.0972  -5.655375     117.5  
-17.9601  -5.61253125   118    
-17.823   -5.5696875    118.5  
-17.6859  -5.52684375   119    
-17.5488  -5.484        119.5  
-17.4117  -5.44115625   120.5  
-17.2746  -5.3983125    120.5  
-17.1375  -5.35546875   121    
-17.0004  -5.312625     122    
-16.8633  -5.26978125   122.5  
-16.7262  -5.2269375    123.5  
