#  x/d, fwhm(m)
1.000000000000000000e+00 1.196557591623036654e+00
2.000000000000000000e+00 1.295675675675675764e+00
3.000000000000000000e+00 1.405643835616438464e+00
7.500000000000000000e+00 1.758814317673377925e+00
1.500000000000000000e+01 2.112027027027027160e+00
3.000000000000000000e+01 3.353374578177727106e+00
4.500000000000000000e+01 5.714405737704917776e+00
6.000000000000000000e+01 8.774164648910410591e+00
7.500000000000000000e+01 1.163568421052631408e+01
